😀	grand sourire, large sourire, visage, visage avec large sourire
🤲🏻	moins jointes, paume contre paume, paume contre paume doigts vers le haut, paume contre paume doigts vers le haut : peau claire, peau claire, prière
🤲🏼	moins jointes, paume contre paume, paume contre paume doigts vers le haut, paume contre paume doigts vers le haut : peau modérément claire, peau modérément claire, prière
🤲🏽	moins jointes, paume contre paume, paume contre paume doigts vers le haut, paume contre paume doigts vers le haut : peau légèrement mate, peau légèrement mate, prière
🤲🏾	moins jointes, paume contre paume, paume contre paume doigts vers le haut, paume contre paume doigts vers le haut : peau modérément foncée, peau modérément foncée, prière
🤲🏿	moins jointes, paume contre paume, paume contre paume doigts vers le haut, paume contre paume doigts vers le haut : peau foncée, peau foncée, prière
🤝	accord, main, poignée, poignée de main, présentation, rencontre
🙏	mains, mains en prière, merci, moins jointes, prière, svp
🙏🏻	mains, mains en prière, mains en prière : peau claire, merci, moins jointes, peau claire, prière, svp
🙏🏼	mains, mains en prière, mains en prière : peau modérément claire, merci, moins jointes, peau modérément claire, prière, svp
🙏🏽	mains, mains en prière, mains en prière : peau légèrement mate, merci, moins jointes, peau légèrement mate, prière, svp
🙏🏾	mains, mains en prière, mains en prière : peau modérément foncée, merci, moins jointes, peau modérément foncée, prière, svp
🙏🏿	mains, mains en prière, mains en prière : peau foncée, merci, moins jointes, peau foncée, prière, svp
✍🏻	main qui écrit : peau claire
✍🏼	main, main qui écrit, main qui écrit : peau modérément claire, peau modérément claire, écrire
✍🏽	main qui écrit : peau légèrement mate
✍🏾	main, main qui écrit, main qui écrit : peau modérément foncée, peau modérément foncée, écrire
✍🏿	main qui écrit : peau foncée
💅	manucure, maquillage, ongle, vernis, vernis à ongles
💅🏻	manucure, maquillage, ongle, peau claire, vernis, vernis à ongles, vernis à ongles : peau claire
💅🏼	manucure, maquillage, ongle, peau modérément claire, vernis, vernis à ongles, vernis à ongles : peau modérément claire
💅🏽	manucure, maquillage, ongle, peau légèrement mate, vernis, vernis à ongles, vernis à ongles : peau légèrement mate
💅🏾	manucure, maquillage, ongle, peau modérément foncée, vernis, vernis à ongles, vernis à ongles : peau modérément foncée
💅🏿	manucure, maquillage, ongle, peau foncée, vernis, vernis à ongles, vernis à ongles : peau foncée
🤳	appareil photo, autophoto, selfie, téléphone
🤳🏻	appareil photo, autophoto, autophoto : peau claire, peau claire, selfie, téléphone
🤳🏼	appareil photo, autophoto, autophoto : peau modérément claire, peau modérément claire, selfie, téléphone
🤳🏽	appareil photo, autophoto, autophoto : peau légèrement mate, peau légèrement mate, selfie, téléphone
🤳🏾	appareil photo, autophoto, autophoto : peau modérément foncée, peau modérément foncée, selfie, téléphone
🤳🏿	appareil photo, autophoto, autophoto : peau foncée, peau foncée, selfie, téléphone
💪🏻	biceps contracté : peau claire
💪🏼	biceps, biceps contracté : peau modérément claire, contracté, corps, muscle, peau modérément claire
💪🏽	biceps contracté : peau légèrement mate
💪🏾	biceps, biceps contracté : peau modérément foncée, contracté, corps, muscle, peau modérément foncée
💪🏿	biceps contracté : peau foncée
🦾	accessibilité, bras, bras mécanique, prothèse
🦿	accessibilité, jambe, jambe mécanique, prothèse
🦵🏻	jambe : peau claire
🦵🏼	coup de pied, jambe, jambe : peau modérément claire, membre, peau modérément claire
🦵🏽	jambe : peau légèrement mate
🦵🏾	coup de pied, jambe, jambe : peau modérément foncée, membre, peau modérément foncée
🦵🏿	jambe : peau foncée
🦶🏻	pied : peau claire
🦶🏼	coup de pied, pas lourd, peau modérément claire, pied, pied : peau modérément claire
🦶🏽	pied : peau légèrement mate
🦶🏾	coup de pied, pas lourd, peau modérément foncée, pied, pied : peau modérément foncée
🦶🏿	pied : peau foncée
👂🏻	oreille : peau claire
👂🏼	corps, oreille, oreille : peau modérément claire, peau modérément claire
👂🏽	oreille : peau légèrement mate
👂🏾	corps, oreille, oreille : peau modérément foncée, peau modérément foncée
👂🏿	oreille : peau foncée
🦻🏻	oreille appareillée : peau claire
🦻🏼	accessibilité, malentendant, oreille appareillée, oreille appareillée : peau modérément claire, peau modérément claire, prothèse auditive
🦻🏽	oreille appareillée : peau légèrement mate
🦻🏾	accessibilité, malentendant, oreille appareillée, oreille appareillée : peau modérément foncée, peau modérément foncée, prothèse auditive
🦻🏿	oreille appareillée : peau foncée
👃🏻	nez : peau claire
👃🏼	corps, nez, nez : peau modérément claire, peau modérément claire
👃🏽	nez : peau légèrement mate
👃🏾	corps, nez, nez : peau modérément foncée, peau modérément foncée
👃🏿	nez : peau foncée
🫀	battement de coeur, cardiologie, cœur, organe, pouls
🫁	expiration, inspiration, organe, poumons, respiration, respirer
👶	bébé, petit
👶🏻	bébé, bébé : peau claire, peau claire, petit
👶🏼	bébé, bébé : peau modérément claire, peau modérément claire, petit
👶🏽	bébé, bébé : peau légèrement mate, peau légèrement mate, petit
👶🏾	bébé, bébé : peau modérément foncée, peau modérément foncée, petit
👶🏿	bébé, bébé : peau foncée, peau foncée, petit
🧒	enfant, genre non défini, jeune
🧒🏻	enfant, enfant : peau claire, genre non défini, jeune, peau claire
🧒🏼	enfant, enfant : peau modérément claire, genre non défini, jeune, peau modérément claire
