😀	aodann, aodann le gàire, fiamh-ghàire, gàire
👉🏼	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh deas, druim na làimhe, colgag a’ tomhadh deas: tòna meadhanach soilleir a’ chraicinn, làmh, meur, tomhadh, tòna meadhanach soilleir a’ chraicinn
👉🏽	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh deas, druim na làimhe, colgag a’ tomhadh deas: tòna meadhanach a’ chraicinn, làmh, meur, tomhadh, tòna meadhanach a’ chraicinn
👉🏾	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh deas, druim na làimhe, colgag a’ tomhadh deas: tòna meadhanach doilleir a’ chraicinn, làmh, meur, tomhadh, tòna meadhanach doilleir a’ chraicinn
👉🏿	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh deas, druim na làimhe, colgag a’ tomhadh deas: tòna doilleir a’ chraicinn, làmh, meur, tomhadh, tòna doilleir a’ chraicinn
👆️	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh suas, làmh, meur, suas, tomhadh
👆🏻	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh suas, druim na làimhe, colgag a’ tomhadh suas: tòna soilleir a’ chraicinn, làmh, meur, suas, tomhadh, tòna soilleir a’ chraicinn
👆🏼	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh suas, druim na làimhe, colgag a’ tomhadh suas: tòna meadhanach soilleir a’ chraicinn, làmh, meur, suas, tomhadh, tòna meadhanach soilleir a’ chraicinn
👆🏽	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh suas, druim na làimhe, colgag a’ tomhadh suas: tòna meadhanach a’ chraicinn, làmh, meur, suas, tomhadh, tòna meadhanach a’ chraicinn
👆🏾	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh suas, druim na làimhe, colgag a’ tomhadh suas: tòna meadhanach doilleir a’ chraicinn, làmh, meur, suas, tomhadh, tòna meadhanach doilleir a’ chraicinn
👆🏿	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh suas, druim na làimhe, colgag a’ tomhadh suas: tòna doilleir a’ chraicinn, làmh, meur, suas, tomhadh, tòna doilleir a’ chraicinn
🖕	Fionnlagh Fada / Màiri Fhada, corrag, làmh, meur
🖕🏻	Fionnlagh Fada / Màiri Fhada, Fionnlagh Fada / Màiri Fhada: tòna soilleir a’ chraicinn, corrag, làmh, meur, tòna soilleir a’ chraicinn
🖕🏼	Fionnlagh Fada / Màiri Fhada, Fionnlagh Fada / Màiri Fhada: tòna meadhanach soilleir a’ chraicinn, corrag, làmh, meur, tòna meadhanach soilleir a’ chraicinn
🖕🏽	Fionnlagh Fada / Màiri Fhada, Fionnlagh Fada / Màiri Fhada: tòna meadhanach a’ chraicinn, corrag, làmh, meur, tòna meadhanach a’ chraicinn
