😀	अनुहार, रमाएको अनुहार, हँसिलो
🤞🏾	औंला, काट्नु, छालाको प्रकार-५, प्रार्थना गरिरहेको मुद्रा, प्रार्थना गरिरहेको मुद्रा: छालाको प्रकार-५, भाग्य, हात
🤞🏿	औंला, काट्नु, छालाको प्रकार-६, प्रार्थना गरिरहेको मुद्रा, प्रार्थना गरिरहेको मुद्रा: छालाको प्रकार-६, भाग्य, हात
🤟	प्रेमपूर्ण भाव, म तिमीलाई माया गर्छु, हात
🤟🏻	छालाको प्रकार-१-२, प्रेमपूर्ण भाव, प्रेमपूर्ण भाव: छालाको प्रकार-१-२, म तिमीलाई माया गर्छु, हात
🤟🏼	छालाको प्रकार-३, प्रेमपूर्ण भाव, प्रेमपूर्ण भाव: छालाको प्रकार-३, म तिमीलाई माया गर्छु, हात
🤟🏽	छालाको प्रकार-४, प्रेमपूर्ण भाव, प्रेमपूर्ण भाव: छालाको प्रकार-४, म तिमीलाई माया गर्छु, हात
🤟🏾	छालाको प्रकार-५, प्रेमपूर्ण भाव, प्रेमपूर्ण भाव: छालाको प्रकार-५, म तिमीलाई माया गर्छु, हात
🤟🏿	छालाको प्रकार-६, प्रेमपूर्ण भाव, प्रेमपूर्ण भाव: छालाको प्रकार-६, म तिमीलाई माया गर्छु, हात
🤘	औंला, रक-अन, सिंङको चिन्ह, सिङ्, हात
🤘🏻	औंला, छालाको प्रकार-१-२, रक-अन, सिंङको चिन्ह, सिंङको चिन्ह: छालाको प्रकार-१-२, सिङ्, हात
🤘🏼	औंला, छालाको प्रकार-३, रक-अन, सिंङको चिन्ह, सिंङको चिन्ह: छालाको प्रकार-३, सिङ्, हात
🤘🏽	औंला, छालाको प्रकार-४, रक-अन, सिंङको चिन्ह, सिंङको चिन्ह: छालाको प्रकार-४, सिङ्, हात
🤘🏾	औंला, छालाको प्रकार-५, रक-अन, सिंङको चिन्ह, सिंङको चिन्ह: छालाको प्रकार-५, सिङ्, हात
🤘🏿	औंला, छालाको प्रकार-६, रक-अन, सिंङको चिन्ह, सिंङको चिन्ह: छालाको प्रकार-६, सिङ्, हात
🤙	फोन गर्नु, मलाई फोन गर्नु भन्ने सङ्केत, हात
🤙🏻	छालाको प्रकार-१-२, फोन गर्नु, मलाई फोन गर्नु भन्ने सङ्केत, मलाई फोन गर्नु भन्ने सङ्केत: छालाको प्रकार-१-२, हात
🤙🏼	छालाको प्रकार-३, फोन गर्नु, मलाई फोन गर्नु भन्ने सङ्केत, मलाई फोन गर्नु भन्ने सङ्केत: छालाको प्रकार-३, हात
🤙🏽	छालाको प्रकार-४, फोन गर्नु, मलाई फोन गर्नु भन्ने सङ्केत, मलाई फोन गर्नु भन्ने सङ्केत: छालाको प्रकार-४, हात
🤙🏾	छालाको प्रकार-५, फोन गर्नु, मलाई फोन गर्नु भन्ने सङ्केत, मलाई फोन गर्नु भन्ने सङ्केत: छालाको प्रकार-५, हात
🤙🏿	छालाको प्रकार-६, फोन गर्नु, मलाई फोन गर्नु भन्ने सङ्केत, मलाई फोन गर्नु भन्ने सङ्केत: छालाको प्रकार-६, हात
👈️	औंला, पछाडिको हात, बायाँतिर देखाइरहेको उल्टो हातको चोर औंला, विन्दु, सूचक, हात
👈🏻	औंला, छालाको प्रकार-१-२, पछाडिको हात, बायाँतिर देखाइरहेको उल्टो हातको चोर औंला, बायाँतिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-१-२, विन्दु, सूचक, हात
👈🏼	औंला, छालाको प्रकार-३, पछाडिको हात, बायाँतिर देखाइरहेको उल्टो हातको चोर औंला, बायाँतिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-३, विन्दु, सूचक, हात
👈🏽	औंला, छालाको प्रकार-४, पछाडिको हात, बायाँतिर देखाइरहेको उल्टो हातको चोर औंला, बायाँतिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-४, विन्दु, सूचक, हात
👈🏾	औंला, छालाको प्रकार-५, पछाडिको हात, बायाँतिर देखाइरहेको उल्टो हातको चोर औंला, बायाँतिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-५, विन्दु, सूचक, हात
👈🏿	औंला, छालाको प्रकार-६, पछाडिको हात, बायाँतिर देखाइरहेको उल्टो हातको चोर औंला, बायाँतिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-६, विन्दु, सूचक, हात
👉️	औंला, दायाँतिर देखाइरहेको उल्टो हातको चोर औंला, पछाडिको हात, विन्दु, सूचक, हात
👉🏻	औंला, छालाको प्रकार-१-२, दायाँतिर देखाइरहेको उल्टो हातको चोर औंला, दायाँतिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-१-२, पछाडिको हात, विन्दु, सूचक, हात
👉🏼	औंला, छालाको प्रकार-३, दायाँतिर देखाइरहेको उल्टो हातको चोर औंला, दायाँतिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-३, पछाडिको हात, विन्दु, सूचक, हात
👉🏽	औंला, छालाको प्रकार-४, दायाँतिर देखाइरहेको उल्टो हातको चोर औंला, दायाँतिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-४, पछाडिको हात, विन्दु, सूचक, हात
👉🏾	औंला, छालाको प्रकार-५, दायाँतिर देखाइरहेको उल्टो हातको चोर औंला, दायाँतिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-५, पछाडिको हात, विन्दु, सूचक, हात
👉🏿	औंला, छालाको प्रकार-६, दायाँतिर देखाइरहेको उल्टो हातको चोर औंला, दायाँतिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-६, पछाडिको हात, विन्दु, सूचक, हात
👆️	औंला, पछाडिको हात, माथि, माथितिर देखाइरहेको उल्टो हातको चोर औंला, शरीर, संकेत, सूचक, हात
👆🏻	औंला, छालाको प्रकार-१-२, पछाडिको हात, माथि, माथितिर देखाइरहेको उल्टो हातको चोर औंला, माथितिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-१-२, शरीर, संकेत, सूचक, हात
👆🏼	औंला, छालाको प्रकार-३, पछाडिको हात, माथि, माथितिर देखाइरहेको उल्टो हातको चोर औंला, माथितिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-३, शरीर, संकेत, सूचक, हात
👆🏽	औंला, छालाको प्रकार-४, पछाडिको हात, माथि, माथितिर देखाइरहेको उल्टो हातको चोर औंला, माथितिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-४, शरीर, संकेत, सूचक, हात
👆🏾	औंला, छालाको प्रकार-५, पछाडिको हात, माथि, माथितिर देखाइरहेको उल्टो हातको चोर औंला, माथितिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-५, शरीर, संकेत, सूचक, हात
👆🏿	औंला, छालाको प्रकार-६, पछाडिको हात, माथि, माथितिर देखाइरहेको उल्टो हातको चोर औंला, माथितिर देखाइरहेको उल्टो हातको चोर औंला: छालाको प्रकार-६, शरीर, संकेत, सूचक, हात
🖕	औंला, बीचको औंला, शरीर, हात
🖕🏻	औंला, छालाको प्रकार-१-२, बीचको औंला, बीचको औंला: छालाको प्रकार-१-२, शरीर, हात
🖕🏼	औंला, छालाको प्रकार-३, बीचको औंला, बीचको औंला: छालाको प्रकार-३, शरीर, हात
