😀	guyu, rai, rai ngguyu
🤲🏾	kulit sawo mateng, ndonga, tangan loro mandho nadhah amin, tangan loro mandho nadhah amin: kulit sawo mateng, tangan loro nadhah
🤲🏿	kulit ireng, ndonga, tangan loro mandho nadhah amin, tangan loro mandho nadhah amin: kulit ireng, tangan loro nadhah
🤝	rapat, salam, salaman, sarujuk, tangan
🙏	maturnuwun, ndonga, njaluk, nyenyuwun, tangan, tangan nyembah
🙏🏻	kulit putih, maturnuwun, ndonga, njaluk, nyenyuwun, tangan, tangan nyembah, tangan nyembah: kulit putih
🙏🏼	kulit putih langsep, maturnuwun, ndonga, njaluk, nyenyuwun, tangan, tangan nyembah, tangan nyembah: kulit putih langsep
🙏🏽	kulit kuning, maturnuwun, ndonga, njaluk, nyenyuwun, tangan, tangan nyembah, tangan nyembah: kulit kuning
🙏🏾	kulit sawo mateng, maturnuwun, ndonga, njaluk, nyenyuwun, tangan, tangan nyembah, tangan nyembah: kulit sawo mateng
🙏🏿	kulit ireng, maturnuwun, ndonga, njaluk, nyenyuwun, tangan, tangan nyembah, tangan nyembah: kulit ireng
✍️	nulis, tangan, tangan nulis
✍🏻	kulit putih, nulis, tangan, tangan nulis: kulit putih
✍🏼	kulit putih langsep, nulis, tangan, tangan nulis: kulit putih langsep
