😀	cara, cara sonriendo, divertido, feliz, sonrisa
🤛🏼	izquierda, puño, puño hacia la izquierda, puño hacia la izquierda: tono de piel claro medio, tono de piel claro medio
🤛🏽	izquierda, puño, puño hacia la izquierda, puño hacia la izquierda: tono de piel medio, tono de piel medio
🤛🏾	izquierda, puño, puño hacia la izquierda, puño hacia la izquierda: tono de piel oscuro medio, tono de piel oscuro medio
🤛🏿	izquierda, puño, puño hacia la izquierda, puño hacia la izquierda: tono de piel oscuro, tono de piel oscuro
🤜	derecha, puño, puño hacia la derecha
🤜🏻	derecha, puño, puño hacia la derecha, puño hacia la derecha: tono de piel claro, tono de piel claro
🤜🏼	derecha, puño, puño hacia la derecha, puño hacia la derecha: tono de piel claro medio, tono de piel claro medio
🤜🏽	derecha, puño, puño hacia la derecha, puño hacia la derecha: tono de piel medio, tono de piel medio
🤜🏾	derecha, puño, puño hacia la derecha, puño hacia la derecha: tono de piel oscuro medio, tono de piel oscuro medio
🤜🏿	derecha, puño, puño hacia la derecha, puño hacia la derecha: tono de piel oscuro, tono de piel oscuro
👏	aplaudir, manos, manos aplaudiendo, palmas, señal
👏🏻	aplaudir, manos, manos aplaudiendo, manos aplaudiendo: tono de piel claro, palmas, señal, tono de piel claro
👏🏼	aplaudir, manos, manos aplaudiendo, manos aplaudiendo: tono de piel claro medio, palmas, señal, tono de piel claro medio
👏🏽	aplaudir, manos, manos aplaudiendo, manos aplaudiendo: tono de piel medio, palmas, señal, tono de piel medio
👏🏾	aplaudir, manos, manos aplaudiendo, manos aplaudiendo: tono de piel oscuro medio, palmas, señal, tono de piel oscuro medio
👏🏿	aplaudir, manos, manos aplaudiendo, manos aplaudiendo: tono de piel oscuro, palmas, señal, tono de piel oscuro
🙌	celebración, gesto, hurra, mano, manos levantadas celebrando
🙌🏻	celebración, gesto, hurra, mano, manos levantadas celebrando, manos levantadas celebrando: tono de piel claro, tono de piel claro
🙌🏼	celebración, gesto, hurra, mano, manos levantadas celebrando, manos levantadas celebrando: tono de piel claro medio, tono de piel claro medio
🙌🏽	celebración, gesto, hurra, mano, manos levantadas celebrando, manos levantadas celebrando: tono de piel medio, tono de piel medio
🙌🏾	celebración, gesto, hurra, mano, manos levantadas celebrando, manos levantadas celebrando: tono de piel oscuro medio, tono de piel oscuro medio
🙌🏿	celebración, gesto, hurra, mano, manos levantadas celebrando, manos levantadas celebrando: tono de piel oscuro, tono de piel oscuro
👐	abiertas, manos, manos abiertas
👐🏻	abiertas, manos, manos abiertas: tono de piel claro, tono de piel claro
👐🏼	abiertas, manos, manos abiertas: tono de piel claro medio, tono de piel claro medio
👐🏽	abiertas, manos, manos abiertas: tono de piel medio, tono de piel medio
👐🏾	abiertas, manos, manos abiertas: tono de piel oscuro medio, tono de piel oscuro medio
👐🏿	abiertas, manos, manos abiertas: tono de piel oscuro, tono de piel oscuro
🤲	oración, palmas hacia arriba juntas
🤲🏻	oración, palmas hacia arriba juntas, palmas hacia arriba juntas: tono de piel claro, tono de piel claro
🤲🏼	oración, palmas hacia arriba juntas, palmas hacia arriba juntas: tono de piel claro medio, tono de piel claro medio
🤲🏽	oración, palmas hacia arriba juntas, palmas hacia arriba juntas: tono de piel medio, tono de piel medio
