😀	cara, cara sonriendo, contento, divertido, sonrisa
✊🏼	puño en alto, puño en alto: tono de piel claro medio, tono de piel claro medio
✊🏽	puño en alto, puño en alto: tono de piel medio, tono de piel medio
✊🏾	puño en alto, puño en alto: tono de piel oscuro medio, tono de piel oscuro medio
✊🏿	puño en alto, puño en alto: tono de piel oscuro, tono de piel oscuro
👊🏻	puñetazo, puño, puño cerrado, puño cerrado: tono de piel claro, tono de piel claro
👊🏼	puñetazo, puño, puño cerrado, puño cerrado: tono de piel claro medio, tono de piel claro medio
👊🏽	puñetazo, puño, puño cerrado, puño cerrado: tono de piel medio, tono de piel medio
👊🏾	puñetazo, puño, puño cerrado, puño cerrado: tono de piel oscuro medio, tono de piel oscuro medio
👊🏿	puñetazo, puño, puño cerrado, puño cerrado: tono de piel oscuro, tono de piel oscuro
🤛	izquierda, puño, puño hacia la izquierda
🤛🏻	izquierda, puño, puño hacia la izquierda, puño hacia la izquierda: tono de piel claro, tono de piel claro
🤛🏼	izquierda, puño, puño hacia la izquierda, puño hacia la izquierda: tono de piel claro medio, tono de piel claro medio
🤛🏽	izquierda, puño, puño hacia la izquierda, puño hacia la izquierda: tono de piel medio, tono de piel medio
🤛🏾	izquierda, puño, puño hacia la izquierda, puño hacia la izquierda: tono de piel oscuro medio, tono de piel oscuro medio
🤛🏿	izquierda, puño, puño hacia la izquierda, puño hacia la izquierda: tono de piel oscuro, tono de piel oscuro
🤜	derecha, puño, puño hacia la derecha
🤜🏻	derecha, puño, puño hacia la derecha, puño hacia la derecha: tono de piel claro, tono de piel claro
🤜🏼	derecha, puño, puño hacia la derecha, puño hacia la derecha: tono de piel claro medio, tono de piel claro medio
🤜🏽	derecha, puño, puño hacia la derecha, puño hacia la derecha: tono de piel medio, tono de piel medio
🤜🏾	derecha, puño, puño hacia la derecha, puño hacia la derecha: tono de piel oscuro medio, tono de piel oscuro medio
🤜🏿	derecha, puño, puño hacia la derecha, puño hacia la derecha: tono de piel oscuro, tono de piel oscuro
👏🏻	aplaudir, manos, manos aplaudiendo, manos aplaudiendo: tono de piel claro, palmas, señal, tono de piel claro
👏🏼	aplaudir, manos, manos aplaudiendo, manos aplaudiendo: tono de piel claro medio, palmas, señal, tono de piel claro medio
👏🏽	aplaudir, manos, manos aplaudiendo, manos aplaudiendo: tono de piel medio, palmas, señal, tono de piel medio
👏🏾	aplaudir, manos, manos aplaudiendo, manos aplaudiendo: tono de piel oscuro medio, palmas, señal, tono de piel oscuro medio
👏🏿	aplaudir, manos, manos aplaudiendo, manos aplaudiendo: tono de piel oscuro, palmas, señal, tono de piel oscuro
🙌	chocar, cinco, festejo, manos, manos levantadas celebrando
