😀	aurpegi, barre egiten ari den aurpegia, irribarre
🖕🏻	1–2. mota, erdiko hatza, erdiko hatza: 1–2. mota, esku, gorputz, hatz
🖕🏼	3. mota, erdiko hatza, erdiko hatza: 3. mota, esku, gorputz, hatz
🖕🏽	bitarteko azal-tonua, erdiko hatza, erdiko hatza: bitarteko azal-tonua, esku, gorputz, hatz
🖕🏾	5. mota, erdiko hatza, erdiko hatza: 5. mota, esku, gorputz, hatz
🖕🏿	6. mota, erdiko hatza, erdiko hatza: 6. mota, esku, gorputz, hatz
👇️	behera seinalatzen ari den hatz erakuslearen atzealdea, behera seinalatzen ari den hatza, erakusle, esku, hatz, seinalatu
👇🏻	1–2. mota, behera seinalatzen ari den hatz erakuslearen atzealdea, behera seinalatzen ari den hatza, behera seinalatzen ari den hatza: 1–2. mota, erakusle, esku, hatz, seinalatu
👇🏼	3. mota, behera seinalatzen ari den hatz erakuslearen atzealdea, behera seinalatzen ari den hatza, behera seinalatzen ari den hatza: 3. mota, erakusle, esku, hatz, seinalatu
👇🏽	behera seinalatzen ari den hatz erakuslearen atzealdea, behera seinalatzen ari den hatza, behera seinalatzen ari den hatza: bitarteko azal-tonua, bitarteko azal-tonua, erakusle, esku, hatz, seinalatu
👇🏾	5. mota, behera seinalatzen ari den hatz erakuslearen atzealdea, behera seinalatzen ari den hatza, behera seinalatzen ari den hatza: 5. mota, erakusle, esku, hatz, seinalatu
👇🏿	6. mota, behera seinalatzen ari den hatz erakuslearen atzealdea, behera seinalatzen ari den hatza, behera seinalatzen ari den hatza: 6. mota, erakusle, esku, hatz, seinalatu
☝️	erakusle, esku, gora seinalatzen ari den hatz erakuslea, hatz, seinalatu
☝🏻	1–2. mota, erakusle, esku, gora seinalatzen ari den hatz erakuslea, gora seinalatzen ari den hatz erakuslea: 1–2. mota, hatz, seinalatu
☝🏼	3. mota, erakusle, esku, gora seinalatzen ari den hatz erakuslea, gora seinalatzen ari den hatz erakuslea: 3. mota, hatz, seinalatu
☝🏽	bitarteko azal-tonua, erakusle, esku, gora seinalatzen ari den hatz erakuslea, gora seinalatzen ari den hatz erakuslea: bitarteko azal-tonua, hatz, seinalatu
☝🏾	5. mota, erakusle, esku, gora seinalatzen ari den hatz erakuslea, gora seinalatzen ari den hatz erakuslea: 5. mota, hatz, seinalatu
☝🏿	6. mota, erakusle, esku, gora seinalatzen ari den hatz erakuslea, gora seinalatzen ari den hatz erakuslea: 6. mota, hatz, seinalatu
👍️	erpuru, erpurua gora, esku, gora, gorputz
👍🏻	1–2. mota, erpuru, erpurua gora, erpurua gora: 1–2. mota, esku, gora, gorputz
👍🏼	3. mota, erpuru, erpurua gora, erpurua gora: 3. mota, esku, gora, gorputz
👍🏽	bitarteko azal-tonua, erpuru, erpurua gora, erpurua gora: bitarteko azal-tonua, esku, gora, gorputz
👍🏾	5. mota, erpuru, erpurua gora, erpurua gora: 5. mota, esku, gora, gorputz
👍🏿	6. mota, erpuru, erpurua gora, erpurua gora: 6. mota, esku, gora, gorputz
👎️	behera, erpuru, erpurua behera, esku, gorputz
👎🏻	1–2. mota, behera, erpuru, erpurua behera, erpurua behera: 1–2. mota, esku, gorputz
👎🏼	3. mota, behera, erpuru, erpurua behera, erpurua behera: 3. mota, esku, gorputz
👎🏽	behera, bitarteko azal-tonua, erpuru, erpurua behera, erpurua behera: bitarteko azal-tonua, esku, gorputz
👎🏾	5. mota, behera, erpuru, erpurua behera, erpurua behera: 5. mota, esku, gorputz
👎🏿	6. mota, behera, erpuru, erpurua behera, erpurua behera: 6. mota, esku, gorputz
✊	esku, estutu, ukabil, ukabil altxatua, ukabilkada
✊🏻	1–2. mota, esku, estutu, ukabil, ukabil altxatua, ukabil altxatua: 1–2. mota, ukabilkada
✊🏼	3. mota, esku, estutu, ukabil, ukabil altxatua, ukabil altxatua: 3. mota, ukabilkada
✊🏽	bitarteko azal-tonua, esku, estutu, ukabil, ukabil altxatua, ukabil altxatua: bitarteko azal-tonua, ukabilkada
✊🏾	5. mota, esku, estutu, ukabil, ukabil altxatua, ukabil altxatua: 5. mota, ukabilkada
✊🏿	6. mota, esku, estutu, ukabil, ukabil altxatua, ukabil altxatua: 6. mota, ukabilkada
👊	esku, estutu, gorputz, ukabil, ukabilkada
👊🏻	1–2. mota, esku, estutu, gorputz, ukabil, ukabilkada, ukabilkada: 1–2. mota
👊🏼	3. mota, esku, estutu, gorputz, ukabil, ukabilkada, ukabilkada: 3. mota
👊🏽	bitarteko azal-tonua, esku, estutu, gorputz, ukabil, ukabilkada, ukabilkada: bitarteko azal-tonua
👊🏾	5. mota, esku, estutu, gorputz, ukabil, ukabilkada, ukabilkada: 5. mota
👊🏿	6. mota, esku, estutu, gorputz, ukabil, ukabilkada, ukabilkada: 6. mota
🤛	ezkerrera, ukabil, ukabila ezkerrera begira
🤛🏻	1–2. mota, ezkerrera, ukabil, ukabila ezkerrera begira, ukabila ezkerrera begira: 1–2. mota
🤛🏼	3. mota, ezkerrera, ukabil, ukabila ezkerrera begira, ukabila ezkerrera begira: 3. mota
🤛🏽	bitarteko azal-tonua, ezkerrera, ukabil, ukabila ezkerrera begira, ukabila ezkerrera begira: bitarteko azal-tonua
🤛🏾	5. mota, ezkerrera, ukabil, ukabila ezkerrera begira, ukabila ezkerrera begira: 5. mota
🤛🏿	6. mota, ezkerrera, ukabil, ukabila ezkerrera begira, ukabila ezkerrera begira: 6. mota
🤜	eskuinera, ukabil, ukabila eskuinera begira
🤜🏻	1–2. mota, eskuinera, ukabil, ukabila eskuinera begira, ukabila eskuinera begira: 1–2. mota
🤜🏼	3. mota, eskuinera, ukabil, ukabila eskuinera begira, ukabila eskuinera begira: 3. mota
🤜🏽	bitarteko azal-tonua, eskuinera, ukabil, ukabila eskuinera begira, ukabila eskuinera begira: bitarteko azal-tonua
🤜🏾	5. mota, eskuinera, ukabil, ukabila eskuinera begira, ukabila eskuinera begira: 5. mota
🤜🏿	6. mota, eskuinera, ukabil, ukabila eskuinera begira, ukabila eskuinera begira: 6. mota
👏	esku, gorputz, txalo, txaloka ari diren eskuak
👏🏻	1–2. mota, esku, gorputz, txalo, txaloka ari diren eskuak, txaloka ari diren eskuak: 1–2. mota
👏🏼	3. mota, esku, gorputz, txalo, txaloka ari diren eskuak, txaloka ari diren eskuak: 3. mota
👏🏽	bitarteko azal-tonua, esku, gorputz, txalo, txaloka ari diren eskuak, txaloka ari diren eskuak: bitarteko azal-tonua
👏🏾	5. mota, esku, gorputz, txalo, txaloka ari diren eskuak, txaloka ari diren eskuak: 5. mota
