😀	πλατύ χαμόγελο, πρόσωπο, σαρκασμός
🚴🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, ποδηλάτισσα, ποδηλάτισσα: ανοιχτόχρωμος τόνος δέρματος, ποδηλασία
🚴🏼‍♀	γυναίκα, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ποδηλάτισσα, ποδηλάτισσα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ποδηλασία
🚴🏽‍♀	γυναίκα, μεσαίος τόνος δέρματος, ποδηλάτισσα, ποδηλάτισσα: μεσαίος τόνος δέρματος, ποδηλασία
🚴🏾‍♀	γυναίκα, μεσαίος-σκούρος τόνος δέρματος, ποδηλάτισσα, ποδηλάτισσα: μεσαίος-σκούρος τόνος δέρματος, ποδηλασία
🚴🏿‍♀	γυναίκα, ποδηλάτισσα, ποδηλάτισσα: σκούρος τόνος δέρματος, ποδηλασία, σκούρος τόνος δέρματος
🚵	βουνό, ορεινή ποδηλασία, ποδήλατο, ποδηλάτης
🚵🏻	ανοιχτόχρωμος τόνος δέρματος, βουνό, ορεινή ποδηλασία, ορεινή ποδηλασία: ανοιχτόχρωμος τόνος δέρματος, ποδήλατο, ποδηλάτης
🚵🏼	βουνό, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ορεινή ποδηλασία, ορεινή ποδηλασία: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ποδήλατο, ποδηλάτης
🚵🏽	βουνό, μεσαίος τόνος δέρματος, ορεινή ποδηλασία, ορεινή ποδηλασία: μεσαίος τόνος δέρματος, ποδήλατο, ποδηλάτης
🚵🏾	βουνό, μεσαίος-σκούρος τόνος δέρματος, ορεινή ποδηλασία, ορεινή ποδηλασία: μεσαίος-σκούρος τόνος δέρματος, ποδήλατο, ποδηλάτης
🚵🏿	βουνό, ορεινή ποδηλασία, ορεινή ποδηλασία: σκούρος τόνος δέρματος, ποδήλατο, ποδηλάτης, σκούρος τόνος δέρματος
🚵‍♂	άντρας, βουνό, ορεινός ποδηλάτης, ποδηλασία
🚵🏻‍♂	άντρας, ανοιχτόχρωμος τόνος δέρματος, βουνό, ορεινός ποδηλάτης, ορεινός ποδηλάτης: ανοιχτόχρωμος τόνος δέρματος, ποδηλασία
🚵🏼‍♂	άντρας, βουνό, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ορεινός ποδηλάτης, ορεινός ποδηλάτης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ποδηλασία
🚵🏽‍♂	άντρας, βουνό, μεσαίος τόνος δέρματος, ορεινός ποδηλάτης, ορεινός ποδηλάτης: μεσαίος τόνος δέρματος, ποδηλασία
🚵🏾‍♂	άντρας, βουνό, μεσαίος-σκούρος τόνος δέρματος, ορεινός ποδηλάτης, ορεινός ποδηλάτης: μεσαίος-σκούρος τόνος δέρματος, ποδηλασία
🚵🏿‍♂	άντρας, βουνό, ορεινός ποδηλάτης, ορεινός ποδηλάτης: σκούρος τόνος δέρματος, ποδηλασία, σκούρος τόνος δέρματος
🚵‍♀	βουνό, γυναίκα, ορεινή ποδηλάτισσα, ποδηλασία
🚵🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, βουνό, γυναίκα, ορεινή ποδηλάτισσα, ορεινή ποδηλάτισσα: ανοιχτόχρωμος τόνος δέρματος, ποδηλασία
🚵🏼‍♀	βουνό, γυναίκα, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ορεινή ποδηλάτισσα, ορεινή ποδηλάτισσα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ποδηλασία
🚵🏽‍♀	βουνό, γυναίκα, μεσαίος τόνος δέρματος, ορεινή ποδηλάτισσα, ορεινή ποδηλάτισσα: μεσαίος τόνος δέρματος, ποδηλασία
🚵🏾‍♀	βουνό, γυναίκα, μεσαίος-σκούρος τόνος δέρματος, ορεινή ποδηλάτισσα, ορεινή ποδηλάτισσα: μεσαίος-σκούρος τόνος δέρματος, ποδηλασία
🚵🏿‍♀	βουνό, γυναίκα, ορεινή ποδηλάτισσα, ορεινή ποδηλάτισσα: σκούρος τόνος δέρματος, ποδηλασία, σκούρος τόνος δέρματος
🤸	άτομο, άτομο κάνει ρόδα, ακροβατικά, ροντάτ, σπορ
🤸🏻	άτομο, άτομο κάνει ρόδα, άτομο κάνει ρόδα: ανοιχτόχρωμος τόνος δέρματος, ακροβατικά, ανοιχτόχρωμος τόνος δέρματος, ροντάτ, σπορ
🤸🏼	άτομο, άτομο κάνει ρόδα, άτομο κάνει ρόδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ακροβατικά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ροντάτ, σπορ
🤸🏽	άτομο, άτομο κάνει ρόδα, άτομο κάνει ρόδα: μεσαίος τόνος δέρματος, ακροβατικά, μεσαίος τόνος δέρματος, ροντάτ, σπορ
🤸🏾	άτομο, άτομο κάνει ρόδα, άτομο κάνει ρόδα: μεσαίος-σκούρος τόνος δέρματος, ακροβατικά, μεσαίος-σκούρος τόνος δέρματος, ροντάτ, σπορ
🤸🏿	άτομο, άτομο κάνει ρόδα, άτομο κάνει ρόδα: σκούρος τόνος δέρματος, ακροβατικά, ροντάτ, σκούρος τόνος δέρματος, σπορ
🤸‍♂	άντρας, άντρας κάνει ρόδα, γυμναστική, ρόδα
🤸🏻‍♂	άντρας, άντρας κάνει ρόδα, άντρας κάνει ρόδα: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, γυμναστική, ρόδα
🤸🏼‍♂	άντρας, άντρας κάνει ρόδα, άντρας κάνει ρόδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, γυμναστική, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ρόδα
🤸🏽‍♂	άντρας, άντρας κάνει ρόδα, άντρας κάνει ρόδα: μεσαίος τόνος δέρματος, γυμναστική, μεσαίος τόνος δέρματος, ρόδα
🤸🏾‍♂	άντρας, άντρας κάνει ρόδα, άντρας κάνει ρόδα: μεσαίος-σκούρος τόνος δέρματος, γυμναστική, μεσαίος-σκούρος τόνος δέρματος, ρόδα
🤸🏿‍♂	άντρας, άντρας κάνει ρόδα, άντρας κάνει ρόδα: σκούρος τόνος δέρματος, γυμναστική, ρόδα, σκούρος τόνος δέρματος
🤸‍♀	γυμναστική, γυναίκα, γυναίκα κάνει ρόδα, ρόδα
🤸🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυμναστική, γυναίκα, γυναίκα κάνει ρόδα, γυναίκα κάνει ρόδα: ανοιχτόχρωμος τόνος δέρματος, ρόδα
🤸🏼‍♀	γυμναστική, γυναίκα, γυναίκα κάνει ρόδα, γυναίκα κάνει ρόδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ρόδα
🤸🏽‍♀	γυμναστική, γυναίκα, γυναίκα κάνει ρόδα, γυναίκα κάνει ρόδα: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, ρόδα
🤸🏾‍♀	γυμναστική, γυναίκα, γυναίκα κάνει ρόδα, γυναίκα κάνει ρόδα: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ρόδα
🤸🏿‍♀	γυμναστική, γυναίκα, γυναίκα κάνει ρόδα, γυναίκα κάνει ρόδα: σκούρος τόνος δέρματος, ρόδα, σκούρος τόνος δέρματος
🤼	άτομο, πάλη, παλαιστής, σπορ
🤼‍♂	άθλημα, άντρες, πάλη, παλαιστές
🤼‍♀	άθλημα, γυναίκες, πάλη, παλαίστριες
🤽	άτομο, νερό, πόλο, σπορ
🤽🏻	άτομο, ανοιχτόχρωμος τόνος δέρματος, νερό, πόλο, πόλο: ανοιχτόχρωμος τόνος δέρματος, σπορ
🤽🏼	άτομο, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νερό, πόλο, πόλο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σπορ
🤽🏽	άτομο, μεσαίος τόνος δέρματος, νερό, πόλο, πόλο: μεσαίος τόνος δέρματος, σπορ
🤽🏾	άτομο, μεσαίος-σκούρος τόνος δέρματος, νερό, πόλο, πόλο: μεσαίος-σκούρος τόνος δέρματος, σπορ
🤽🏿	άτομο, νερό, πόλο, πόλο: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σπορ
🤽‍♂	άντρας, νερό, πολίστας, πόλο
🤽🏻‍♂	άντρας, ανοιχτόχρωμος τόνος δέρματος, νερό, πολίστας, πολίστας: ανοιχτόχρωμος τόνος δέρματος, πόλο
🤽🏼‍♂	άντρας, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νερό, πολίστας, πολίστας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, πόλο
🤽🏽‍♂	άντρας, μεσαίος τόνος δέρματος, νερό, πολίστας, πολίστας: μεσαίος τόνος δέρματος, πόλο
🤽🏾‍♂	άντρας, μεσαίος-σκούρος τόνος δέρματος, νερό, πολίστας, πολίστας: μεσαίος-σκούρος τόνος δέρματος, πόλο
🤽🏿‍♂	άντρας, νερό, πολίστας, πολίστας: σκούρος τόνος δέρματος, πόλο, σκούρος τόνος δέρματος
🤽‍♀	γυναίκα, νερό, πολίστρια, πόλο
🤽🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, νερό, πολίστρια, πολίστρια: ανοιχτόχρωμος τόνος δέρματος, πόλο
🤽🏼‍♀	γυναίκα, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νερό, πολίστρια, πολίστρια: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, πόλο
🤽🏽‍♀	γυναίκα, μεσαίος τόνος δέρματος, νερό, πολίστρια, πολίστρια: μεσαίος τόνος δέρματος, πόλο
