😀	bahagia, gembira, muka, senang, wajah, wajah gembira
👊🏻	badan, kepal, tangan, tangan terkepal ke depan, tangan terkepal ke depan: warna kulit cerah, tinju, tonjok, tubuh, warna kulit cerah
👊🏼	badan, kepal, tangan, tangan terkepal ke depan, tangan terkepal ke depan: warna kulit cerah-sedang, tinju, tonjok, tubuh, warna kulit cerah-sedang
👊🏽	badan, kepal, tangan, tangan terkepal ke depan, tangan terkepal ke depan: warna kulit sedang, tinju, tonjok, tubuh, warna kulit sedang
👊🏾	badan, kepal, tangan, tangan terkepal ke depan, tangan terkepal ke depan: warna kulit gelap-sedang, tinju, tonjok, tubuh, warna kulit gelap-sedang
👊🏿	badan, kepal, tangan, tangan terkepal ke depan, tangan terkepal ke depan: warna kulit gelap, tinju, tonjok, tubuh, warna kulit gelap
🤛	kepalan tangan, kiri, tinju kiri, tonjok
🤛🏻	kepalan tangan, kiri, tinju kiri, tinju kiri: warna kulit cerah, tonjok, warna kulit cerah
🤛🏼	kepalan tangan, kiri, tinju kiri, tinju kiri: warna kulit cerah-sedang, tonjok, warna kulit cerah-sedang
🤛🏽	kepalan tangan, kiri, tinju kiri, tinju kiri: warna kulit sedang, tonjok, warna kulit sedang
🤛🏾	kepalan tangan, kiri, tinju kiri, tinju kiri: warna kulit gelap-sedang, tonjok, warna kulit gelap-sedang
🤛🏿	kepalan tangan, kiri, tinju kiri, tinju kiri: warna kulit gelap, tonjok, warna kulit gelap
🤜	kanan, kepalan tangan, tinju kanan, tonjok
🤜🏻	kanan, kepalan tangan, tinju kanan, tinju kanan: warna kulit cerah, tonjok, warna kulit cerah
🤜🏼	kanan, kepalan tangan, tinju kanan, tinju kanan: warna kulit cerah-sedang, tonjok, warna kulit cerah-sedang
🤜🏽	kanan, kepalan tangan, tinju kanan, tinju kanan: warna kulit sedang, tonjok, warna kulit sedang
🤜🏾	kanan, kepalan tangan, tinju kanan, tinju kanan: warna kulit gelap-sedang, tonjok, warna kulit gelap-sedang
🤜🏿	kanan, kepalan tangan, tinju kanan, tinju kanan: warna kulit gelap, tonjok, warna kulit gelap
👏	badan, tangan, tepuk, tepuk tangan, tubuh
👏🏻	badan, tangan, tepuk, tepuk tangan: warna kulit cerah, tubuh, warna kulit cerah
👏🏼	badan, tangan, tepuk, tepuk tangan: warna kulit cerah-sedang, tubuh, warna kulit cerah-sedang
👏🏽	badan, tangan, tepuk, tepuk tangan: warna kulit sedang, tubuh, warna kulit sedang
👏🏾	badan, tangan, tepuk, tepuk tangan: warna kulit gelap-sedang, tubuh, warna kulit gelap-sedang
👏🏿	badan, tangan, tepuk, tepuk tangan: warna kulit gelap, tubuh, warna kulit gelap
🙌	angkat tangan, gerakan, hore, mengangkat tangan, perayaan, tangan
🙌🏻	angkat tangan, gerakan, hore, mengangkat tangan, mengangkat tangan: warna kulit cerah, perayaan, tangan, warna kulit cerah
🙌🏼	angkat tangan, gerakan, hore, mengangkat tangan, mengangkat tangan: warna kulit cerah-sedang, perayaan, tangan, warna kulit cerah-sedang
🙌🏽	angkat tangan, gerakan, hore, mengangkat tangan, mengangkat tangan: warna kulit sedang, perayaan, tangan, warna kulit sedang
