😀	gezicht, grijns, grijnzend gezicht
👉️	achterkant van hand met naar rechts wijzende wijsvinger, hand, lichaam, vinger, vinger wijst naar rechts, wijsvinger, wijzen, wijzend
👉🏻	achterkant van hand met naar rechts wijzende wijsvinger, achterkant van hand met naar rechts wijzende wijsvinger: lichte huidskleur, hand, lichaam, lichte huidskleur, vinger, vinger wijst naar rechts, wijsvinger, wijzen, wijzend
👉🏼	achterkant van hand met naar rechts wijzende wijsvinger, achterkant van hand met naar rechts wijzende wijsvinger: lichtgetinte huidskleur, hand, lichaam, lichtgetinte huidskleur, vinger, vinger wijst naar rechts, wijsvinger, wijzen, wijzend
👉🏽	achterkant van hand met naar rechts wijzende wijsvinger, achterkant van hand met naar rechts wijzende wijsvinger: getinte huidskleur, getinte huidskleur, hand, lichaam, vinger, vinger wijst naar rechts, wijsvinger, wijzen, wijzend
👉🏾	achterkant van hand met naar rechts wijzende wijsvinger, achterkant van hand met naar rechts wijzende wijsvinger: donkergetinte huidskleur, donkergetinte huidskleur, hand, lichaam, vinger, vinger wijst naar rechts, wijsvinger, wijzen, wijzend
👉🏿	achterkant van hand met naar rechts wijzende wijsvinger, achterkant van hand met naar rechts wijzende wijsvinger: donkere huidskleur, donkere huidskleur, hand, lichaam, vinger, vinger wijst naar rechts, wijsvinger, wijzen, wijzend
👆️	achterkant van hand met omhoog wijzende wijsvinger, hand, hand met rug naar voren, omhoog, vinger, wijsvinger, wijzen
👆🏻	achterkant van hand met omhoog wijzende wijsvinger, achterkant van hand met omhoog wijzende wijsvinger: lichte huidskleur, hand, hand met rug naar voren, lichte huidskleur, omhoog, vinger, wijsvinger, wijzen
👆🏼	achterkant van hand met omhoog wijzende wijsvinger, achterkant van hand met omhoog wijzende wijsvinger: lichtgetinte huidskleur, hand, hand met rug naar voren, lichtgetinte huidskleur, omhoog, vinger, wijsvinger, wijzen
👆🏽	achterkant van hand met omhoog wijzende wijsvinger, achterkant van hand met omhoog wijzende wijsvinger: getinte huidskleur, getinte huidskleur, hand, hand met rug naar voren, omhoog, vinger, wijsvinger, wijzen
👆🏾	achterkant van hand met omhoog wijzende wijsvinger, achterkant van hand met omhoog wijzende wijsvinger: donkergetinte huidskleur, donkergetinte huidskleur, hand, hand met rug naar voren, omhoog, vinger, wijsvinger, wijzen
👆🏿	achterkant van hand met omhoog wijzende wijsvinger, achterkant van hand met omhoog wijzende wijsvinger: donkere huidskleur, donkere huidskleur, hand, hand met rug naar voren, omhoog, vinger, wijsvinger, wijzen
🖕	hand, middelvinger, vinger
🖕🏻	hand, lichte huidskleur, middelvinger, middelvinger: lichte huidskleur, vinger
🖕🏼	hand, lichtgetinte huidskleur, middelvinger, middelvinger: lichtgetinte huidskleur, vinger
🖕🏽	getinte huidskleur, hand, middelvinger, middelvinger: getinte huidskleur, vinger
🖕🏾	donkergetinte huidskleur, hand, middelvinger, middelvinger: donkergetinte huidskleur, vinger
🖕🏿	donkere huidskleur, hand, middelvinger, middelvinger: donkere huidskleur, vinger
👇️	achterkant van hand met omlaag wijzende wijsvinger, hand, hand met rug naar voren, omlaag, vinger, wijsvinger, wijzen
👇🏻	achterkant van hand met omlaag wijzende wijsvinger, achterkant van hand met omlaag wijzende wijsvinger: lichte huidskleur, hand, hand met rug naar voren, lichte huidskleur, omlaag, vinger, wijsvinger, wijzen
👇🏼	achterkant van hand met omlaag wijzende wijsvinger, achterkant van hand met omlaag wijzende wijsvinger: lichtgetinte huidskleur, hand, hand met rug naar voren, lichtgetinte huidskleur, omlaag, vinger, wijsvinger, wijzen
👇🏽	achterkant van hand met omlaag wijzende wijsvinger, achterkant van hand met omlaag wijzende wijsvinger: getinte huidskleur, getinte huidskleur, hand, hand met rug naar voren, omlaag, vinger, wijsvinger, wijzen
👇🏾	achterkant van hand met omlaag wijzende wijsvinger, achterkant van hand met omlaag wijzende wijsvinger: donkergetinte huidskleur, donkergetinte huidskleur, hand, hand met rug naar voren, omlaag, vinger, wijsvinger, wijzen
👇🏿	achterkant van hand met omlaag wijzende wijsvinger, achterkant van hand met omlaag wijzende wijsvinger: donkere huidskleur, donkere huidskleur, hand, hand met rug naar voren, omlaag, vinger, wijsvinger, wijzen
☝️	hand, omhoog, omhoog wijzende wijsvinger, vinger, wijsvinger, wijzen
☝🏻	hand, lichte huidskleur, omhoog, omhoog wijzende wijsvinger, omhoog wijzende wijsvinger: lichte huidskleur, vinger, wijsvinger, wijzen
☝🏼	hand, lichtgetinte huidskleur, omhoog, omhoog wijzende wijsvinger, omhoog wijzende wijsvinger: lichtgetinte huidskleur, vinger, wijsvinger, wijzen
☝🏽	getinte huidskleur, hand, omhoog, omhoog wijzende wijsvinger, omhoog wijzende wijsvinger: getinte huidskleur, vinger, wijsvinger, wijzen
☝🏾	donkergetinte huidskleur, hand, omhoog, omhoog wijzende wijsvinger, omhoog wijzende wijsvinger: donkergetinte huidskleur, vinger, wijsvinger, wijzen
☝🏿	donkere huidskleur, hand, omhoog, omhoog wijzende wijsvinger, omhoog wijzende wijsvinger: donkere huidskleur, vinger, wijsvinger, wijzen
👍️	+1, duim, duim omhoog, hand, omhoog
👍🏻	+1, duim, duim omhoog: lichte huidskleur, hand, lichte huidskleur, omhoog
👍🏼	+1, duim, duim omhoog: lichtgetinte huidskleur, hand, lichtgetinte huidskleur, omhoog
👍🏽	+1, duim, duim omhoog: getinte huidskleur, getinte huidskleur, hand, omhoog
👍🏾	+1, donkergetinte huidskleur, duim, duim omhoog: donkergetinte huidskleur, hand, omhoog
👍🏿	+1, donkere huidskleur, duim, duim omhoog: donkere huidskleur, hand, omhoog
👎️	-1, duim, duim omlaag, hand, lichaam, omlaag
👎🏻	-1, duim, duim omlaag: lichte huidskleur, hand, lichaam, lichte huidskleur, omlaag
👎🏼	-1, duim, duim omlaag: lichtgetinte huidskleur, hand, lichaam, lichtgetinte huidskleur, omlaag
👎🏽	-1, duim, duim omlaag: getinte huidskleur, getinte huidskleur, hand, lichaam, omlaag
👎🏾	-1, donkergetinte huidskleur, duim, duim omlaag: donkergetinte huidskleur, hand, lichaam, omlaag
👎🏿	-1, donkere huidskleur, duim, duim omlaag: donkere huidskleur, hand, lichaam, omlaag
✊	gebald, hand, opgeheven vuist, stoot, vuist
✊🏻	gebald, hand, lichte huidskleur, opgeheven vuist, opgeheven vuist: lichte huidskleur, stoot, vuist
✊🏼	gebald, hand, lichtgetinte huidskleur, opgeheven vuist, opgeheven vuist: lichtgetinte huidskleur, stoot, vuist
✊🏽	gebald, getinte huidskleur, hand, opgeheven vuist, opgeheven vuist: getinte huidskleur, stoot, vuist
✊🏾	donkergetinte huidskleur, gebald, hand, opgeheven vuist, opgeheven vuist: donkergetinte huidskleur, stoot, vuist
✊🏿	donkere huidskleur, gebald, hand, opgeheven vuist, opgeheven vuist: donkere huidskleur, stoot, vuist
👊	gebald, hand, stoot, stotende vuist, vuist
👊🏻	gebald, hand, lichte huidskleur, stoot, stotende vuist, stotende vuist: lichte huidskleur, vuist
👊🏼	gebald, hand, lichtgetinte huidskleur, stoot, stotende vuist, stotende vuist: lichtgetinte huidskleur, vuist
👊🏽	gebald, getinte huidskleur, hand, stoot, stotende vuist, stotende vuist: getinte huidskleur, vuist
👊🏾	donkergetinte huidskleur, gebald, hand, stoot, stotende vuist, stotende vuist: donkergetinte huidskleur, vuist
👊🏿	donkere huidskleur, gebald, hand, stoot, stotende vuist, stotende vuist: donkere huidskleur, vuist
🤛	linksom, naar links gerichte vuist, vuist
🤛🏻	lichte huidskleur, linksom, naar links gerichte vuist, naar links gerichte vuist: lichte huidskleur, vuist
🤛🏼	lichtgetinte huidskleur, linksom, naar links gerichte vuist, naar links gerichte vuist: lichtgetinte huidskleur, vuist
🤛🏽	getinte huidskleur, linksom, naar links gerichte vuist, naar links gerichte vuist: getinte huidskleur, vuist
🤛🏾	donkergetinte huidskleur, linksom, naar links gerichte vuist, naar links gerichte vuist: donkergetinte huidskleur, vuist
🤛🏿	donkere huidskleur, linksom, naar links gerichte vuist, naar links gerichte vuist: donkere huidskleur, vuist
🤜	naar rechts gerichte vuist, rechtsom, vuist
🤜🏻	lichte huidskleur, naar rechts gerichte vuist, naar rechts gerichte vuist: lichte huidskleur, rechtsom, vuist
🤜🏼	lichtgetinte huidskleur, naar rechts gerichte vuist, naar rechts gerichte vuist: lichtgetinte huidskleur, rechtsom, vuist
🤜🏽	getinte huidskleur, naar rechts gerichte vuist, naar rechts gerichte vuist: getinte huidskleur, rechtsom, vuist
🤜🏾	donkergetinte huidskleur, naar rechts gerichte vuist, naar rechts gerichte vuist: donkergetinte huidskleur, rechtsom, vuist
🤜🏿	donkere huidskleur, naar rechts gerichte vuist, naar rechts gerichte vuist: donkere huidskleur, rechtsom, vuist
👏	hand, klappen, klappende handen
👏🏻	hand, klappen, klappende handen, klappende handen: lichte huidskleur, lichte huidskleur
👏🏼	hand, klappen, klappende handen, klappende handen: lichtgetinte huidskleur, lichtgetinte huidskleur
👏🏽	getinte huidskleur, hand, klappen, klappende handen, klappende handen: getinte huidskleur
👏🏾	donkergetinte huidskleur, hand, klappen, klappende handen, klappende handen: donkergetinte huidskleur
👏🏿	donkere huidskleur, hand, klappen, klappende handen, klappende handen: donkere huidskleur
🙌	gebaar, hand, hoera, juichend omhooggestoken handen, omhoog, viering
🙌🏻	gebaar, hand, hoera, juichend omhooggestoken handen, juichend omhooggestoken handen: lichte huidskleur, lichte huidskleur, omhoog, viering
