😀	gezicht, grijns, grijnzend gezicht
🙌🏼	gebaar, hand, hoera, juichend omhooggestoken handen, juichend omhooggestoken handen: lichtgetinte huidskleur, lichtgetinte huidskleur, omhoog, viering
🙌🏽	gebaar, getinte huidskleur, hand, hoera, juichend omhooggestoken handen, juichend omhooggestoken handen: getinte huidskleur, omhoog, viering
🙌🏾	donkergetinte huidskleur, gebaar, hand, hoera, juichend omhooggestoken handen, juichend omhooggestoken handen: donkergetinte huidskleur, omhoog, viering
🙌🏿	donkere huidskleur, gebaar, hand, hoera, juichend omhooggestoken handen, juichend omhooggestoken handen: donkere huidskleur, omhoog, viering
👐	hand, open, open handen
👐🏻	hand, lichte huidskleur, open, open handen, open handen: lichte huidskleur
👐🏼	hand, lichtgetinte huidskleur, open, open handen, open handen: lichtgetinte huidskleur
👐🏽	getinte huidskleur, hand, open, open handen, open handen: getinte huidskleur
👐🏾	donkergetinte huidskleur, hand, open, open handen, open handen: donkergetinte huidskleur
👐🏿	donkere huidskleur, hand, open, open handen, open handen: donkere huidskleur
🤲	beide handpalmen omhoog, gebed
🤲🏻	beide handpalmen omhoog, beide handpalmen omhoog: lichte huidskleur, gebed, lichte huidskleur
🤲🏼	beide handpalmen omhoog, beide handpalmen omhoog: lichtgetinte huidskleur, gebed, lichtgetinte huidskleur
🤲🏽	beide handpalmen omhoog, beide handpalmen omhoog: getinte huidskleur, gebed, getinte huidskleur
🤲🏾	beide handpalmen omhoog, beide handpalmen omhoog: donkergetinte huidskleur, donkergetinte huidskleur, gebed
🤲🏿	beide handpalmen omhoog, beide handpalmen omhoog: donkere huidskleur, donkere huidskleur, gebed
🤝	deal, hand, handdruk, ontmoeting, overeenkomst
🙏	alsjeblieft, bedankt, bidden, buigen, gebaar, gevouwen, gevouwen handen, hand, vragen
🙏🏻	alsjeblieft, bedankt, bidden, buigen, gebaar, gevouwen, gevouwen handen, gevouwen handen: lichte huidskleur, hand, lichte huidskleur, vragen
🙏🏼	alsjeblieft, bedankt, bidden, buigen, gebaar, gevouwen, gevouwen handen, gevouwen handen: lichtgetinte huidskleur, hand, lichtgetinte huidskleur, vragen
🙏🏽	alsjeblieft, bedankt, bidden, buigen, gebaar, getinte huidskleur, gevouwen, gevouwen handen, gevouwen handen: getinte huidskleur, hand, vragen
🙏🏾	alsjeblieft, bedankt, bidden, buigen, donkergetinte huidskleur, gebaar, gevouwen, gevouwen handen, gevouwen handen: donkergetinte huidskleur, hand, vragen
🙏🏿	alsjeblieft, bedankt, bidden, buigen, donkere huidskleur, gebaar, gevouwen, gevouwen handen, gevouwen handen: donkere huidskleur, hand, vragen
✍️	hand, schrijven, schrijvende hand
✍🏻	hand, lichte huidskleur, schrijven, schrijvende hand, schrijvende hand: lichte huidskleur
✍🏼	hand, lichtgetinte huidskleur, schrijven, schrijvende hand, schrijvende hand: lichtgetinte huidskleur
✍🏽	getinte huidskleur, hand, schrijven, schrijvende hand, schrijvende hand: getinte huidskleur
✍🏾	donkergetinte huidskleur, hand, schrijven, schrijvende hand, schrijvende hand: donkergetinte huidskleur
✍🏿	donkere huidskleur, hand, schrijven, schrijvende hand, schrijvende hand: donkere huidskleur
💅	cosmetica, lak, manicure, nagel, nagellak, verzorging
💅🏻	cosmetica, lak, lichte huidskleur, manicure, nagel, nagellak, nagellak: lichte huidskleur, verzorging
💅🏼	cosmetica, lak, lichtgetinte huidskleur, manicure, nagel, nagellak, nagellak: lichtgetinte huidskleur, verzorging
💅🏽	cosmetica, getinte huidskleur, lak, manicure, nagel, nagellak, nagellak: getinte huidskleur, verzorging
💅🏾	cosmetica, donkergetinte huidskleur, lak, manicure, nagel, nagellak, nagellak: donkergetinte huidskleur, verzorging
💅🏿	cosmetica, donkere huidskleur, lak, manicure, nagel, nagellak, nagellak: donkere huidskleur, verzorging
🤳	camera, selfie, telefoon
🤳🏻	camera, lichte huidskleur, selfie, selfie: lichte huidskleur, telefoon
🤳🏼	camera, lichtgetinte huidskleur, selfie, selfie: lichtgetinte huidskleur, telefoon
🤳🏽	camera, getinte huidskleur, selfie, selfie: getinte huidskleur, telefoon
🤳🏾	camera, donkergetinte huidskleur, selfie, selfie: donkergetinte huidskleur, telefoon
🤳🏿	camera, donkere huidskleur, selfie, selfie: donkere huidskleur, telefoon
💪	biceps, lichaam, spannen, spier, spierbal, spierballen, strip
💪🏻	biceps, lichaam, lichte huidskleur, spannen, spier, spierbal, spierballen, spierballen: lichte huidskleur, strip
💪🏼	biceps, lichaam, lichtgetinte huidskleur, spannen, spier, spierbal, spierballen, spierballen: lichtgetinte huidskleur, strip
💪🏽	biceps, getinte huidskleur, lichaam, spannen, spier, spierbal, spierballen, spierballen: getinte huidskleur, strip
💪🏾	biceps, donkergetinte huidskleur, lichaam, spannen, spier, spierbal, spierballen, spierballen: donkergetinte huidskleur, strip
💪🏿	biceps, donkere huidskleur, lichaam, spannen, spier, spierbal, spierballen, spierballen: donkere huidskleur, strip
🦾	armprothese, prothese, toegankelijkheid
🦿	beenprothese, prothese, toegankelijkheid
🦵	been, ledemaat, schoppen
🦵🏻	been, been: lichte huidskleur, ledemaat, lichte huidskleur, schoppen
🦵🏼	been, been: lichtgetinte huidskleur, ledemaat, lichtgetinte huidskleur, schoppen
🦵🏽	been, been: getinte huidskleur, getinte huidskleur, ledemaat, schoppen
🦵🏾	been, been: donkergetinte huidskleur, donkergetinte huidskleur, ledemaat, schoppen
🦵🏿	been, been: donkere huidskleur, donkere huidskleur, ledemaat, schoppen
🦶	schoppen, stampen, voet
🦶🏻	lichte huidskleur, schoppen, stampen, voet, voet: lichte huidskleur
🦶🏼	lichtgetinte huidskleur, schoppen, stampen, voet, voet: lichtgetinte huidskleur
🦶🏽	getinte huidskleur, schoppen, stampen, voet, voet: getinte huidskleur
🦶🏾	donkergetinte huidskleur, schoppen, stampen, voet, voet: donkergetinte huidskleur
🦶🏿	donkere huidskleur, schoppen, stampen, voet, voet: donkere huidskleur
👂️	lichaam, oor
👂🏻	lichaam, lichte huidskleur, oor, oor: lichte huidskleur
👂🏼	lichaam, lichtgetinte huidskleur, oor, oor: lichtgetinte huidskleur
👂🏽	getinte huidskleur, lichaam, oor, oor: getinte huidskleur
👂🏾	donkergetinte huidskleur, lichaam, oor, oor: donkergetinte huidskleur
👂🏿	donkere huidskleur, lichaam, oor, oor: donkere huidskleur
🦻	oor met gehoorapparaat, slechthorend, toegankelijkheid
🦻🏻	lichte huidskleur, oor met gehoorapparaat, oor met gehoorapparaat: lichte huidskleur, slechthorend, toegankelijkheid
🦻🏼	lichtgetinte huidskleur, oor met gehoorapparaat, oor met gehoorapparaat: lichtgetinte huidskleur, slechthorend, toegankelijkheid
🦻🏽	getinte huidskleur, oor met gehoorapparaat, oor met gehoorapparaat: getinte huidskleur, slechthorend, toegankelijkheid
🦻🏾	donkergetinte huidskleur, oor met gehoorapparaat, oor met gehoorapparaat: donkergetinte huidskleur, slechthorend, toegankelijkheid
🦻🏿	donkere huidskleur, oor met gehoorapparaat, oor met gehoorapparaat: donkere huidskleur, slechthorend, toegankelijkheid
👃	lichaam, neus
👃🏻	lichaam, lichte huidskleur, neus, neus: lichte huidskleur
👃🏼	lichaam, lichtgetinte huidskleur, neus, neus: lichtgetinte huidskleur
👃🏽	getinte huidskleur, lichaam, neus, neus: getinte huidskleur
👃🏾	donkergetinte huidskleur, lichaam, neus, neus: donkergetinte huidskleur
👃🏿	donkere huidskleur, lichaam, neus, neus: donkere huidskleur
🧠	brein, intelligent
🦷	tand, tandarts
🦴	bot, skelet
👀	gezicht, ogen, oog
👁️	lichaam, oog
👅	lichaam, tong
👄	lippen, mond
👶	baby, jong
👶🏻	baby, baby: lichte huidskleur, jong, lichte huidskleur
👶🏼	baby, baby: lichtgetinte huidskleur, jong, lichtgetinte huidskleur
👶🏽	baby, baby: getinte huidskleur, getinte huidskleur, jong
👶🏾	baby, baby: donkergetinte huidskleur, donkergetinte huidskleur, jong
👶🏿	baby, baby: donkere huidskleur, donkere huidskleur, jong
🧒	genderneutraal, jong, kind
🧒🏻	genderneutraal, jong, kind, kind: lichte huidskleur, lichte huidskleur
🧒🏼	genderneutraal, jong, kind, kind: lichtgetinte huidskleur, lichtgetinte huidskleur
🧒🏽	genderneutraal, getinte huidskleur, jong, kind, kind: getinte huidskleur
🧒🏾	donkergetinte huidskleur, genderneutraal, jong, kind, kind: donkergetinte huidskleur
🧒🏿	donkere huidskleur, genderneutraal, jong, kind, kind: donkere huidskleur
👦	jong, jongen
👦🏻	jong, jongen, jongen: lichte huidskleur, lichte huidskleur
👦🏼	jong, jongen, jongen: lichtgetinte huidskleur, lichtgetinte huidskleur
👦🏽	getinte huidskleur, jong, jongen, jongen: getinte huidskleur
👦🏾	donkergetinte huidskleur, jong, jongen, jongen: donkergetinte huidskleur
👦🏿	donkere huidskleur, jong, jongen, jongen: donkere huidskleur
👧	jong, maagd, meisje, sterrenbeeld
👧🏻	jong, lichte huidskleur, maagd, meisje, meisje: lichte huidskleur, sterrenbeeld
👧🏼	jong, lichtgetinte huidskleur, maagd, meisje, meisje: lichtgetinte huidskleur, sterrenbeeld
👧🏽	getinte huidskleur, jong, maagd, meisje, meisje: getinte huidskleur, sterrenbeeld
👧🏾	donkergetinte huidskleur, jong, maagd, meisje, meisje: donkergetinte huidskleur, sterrenbeeld
👧🏿	donkere huidskleur, jong, maagd, meisje, meisje: donkere huidskleur, sterrenbeeld
🧑	genderneutraal, volwassene
🧑🏻	genderneutraal, lichte huidskleur, volwassene, volwassene: lichte huidskleur
🧑🏼	genderneutraal, lichtgetinte huidskleur, volwassene, volwassene: lichtgetinte huidskleur
🧑🏽	genderneutraal, getinte huidskleur, volwassene, volwassene: getinte huidskleur
🧑🏾	donkergetinte huidskleur, genderneutraal, volwassene, volwassene: donkergetinte huidskleur
🧑🏿	donkere huidskleur, genderneutraal, volwassene, volwassene: donkere huidskleur
👱	blond, haar, persoon met blond haar
👱🏻	blond, haar, lichte huidskleur, persoon met blond haar, persoon met blond haar: lichte huidskleur
👱🏼	blond, haar, lichtgetinte huidskleur, persoon met blond haar, persoon met blond haar: lichtgetinte huidskleur
👱🏽	blond, getinte huidskleur, haar, persoon met blond haar, persoon met blond haar: getinte huidskleur
👱🏾	blond, donkergetinte huidskleur, haar, persoon met blond haar, persoon met blond haar: donkergetinte huidskleur
👱🏿	blond, donkere huidskleur, haar, persoon met blond haar, persoon met blond haar: donkere huidskleur
👨	man
👨🏻	lichte huidskleur, man, man: lichte huidskleur
👨🏼	lichtgetinte huidskleur, man, man: lichtgetinte huidskleur
👨🏽	getinte huidskleur, man, man: getinte huidskleur
👨🏾	donkergetinte huidskleur, man, man: donkergetinte huidskleur
👨🏿	donkere huidskleur, man, man: donkere huidskleur
🧔	baard, man, man met baard, persoon
🧔🏻	baard, lichte huidskleur, man, man met baard, man met baard: lichte huidskleur, persoon
🧔🏼	baard, lichtgetinte huidskleur, man, man met baard, man met baard: lichtgetinte huidskleur, persoon
🧔🏽	baard, getinte huidskleur, man, man met baard, man met baard: getinte huidskleur, persoon
🧔🏾	baard, donkergetinte huidskleur, man, man met baard, man met baard: donkergetinte huidskleur, persoon
🧔🏿	baard, donkere huidskleur, man, man met baard, man met baard: donkere huidskleur, persoon
👱‍♂	blond, haar, man, man met blond haar
👱🏻‍♂	blond, haar, lichte huidskleur, man, man met blond haar, man met blond haar: lichte huidskleur
👱🏼‍♂	blond, haar, lichtgetinte huidskleur, man, man met blond haar, man met blond haar: lichtgetinte huidskleur
👱🏽‍♂	blond, getinte huidskleur, haar, man, man met blond haar, man met blond haar: getinte huidskleur
👱🏾‍♂	blond, donkergetinte huidskleur, haar, man, man met blond haar, man met blond haar: donkergetinte huidskleur
👱🏿‍♂	blond, donkere huidskleur, haar, man, man met blond haar, man met blond haar: donkere huidskleur
👨‍🦰	man, man: rood haar, rood haar
👨🏻‍🦰	lichte huidskleur, man, man: lichte huidskleur en rood haar, rood haar
👨🏼‍🦰	lichtgetinte huidskleur, man, man: lichtgetinte huidskleur en rood haar, rood haar
👨🏽‍🦰	getinte huidskleur, man, man: getinte huidskleur en rood haar, rood haar
👨🏾‍🦰	donkergetinte huidskleur, man, man: donkergetinte huidskleur en rood haar, rood haar
👨🏿‍🦰	donkere huidskleur, man, man: donkere huidskleur en rood haar, rood haar
👨‍🦱	krullend haar, man, man: krullend haar
👨🏻‍🦱	krullend haar, lichte huidskleur, man, man: lichte huidskleur en krullend haar
👨🏼‍🦱	krullend haar, lichtgetinte huidskleur, man, man: lichtgetinte huidskleur en krullend haar
👨🏽‍🦱	getinte huidskleur, krullend haar, man, man: getinte huidskleur en krullend haar
👨🏾‍🦱	donkergetinte huidskleur, krullend haar, man, man: donkergetinte huidskleur en krullend haar
👨🏿‍🦱	donkere huidskleur, krullend haar, man, man: donkere huidskleur en krullend haar
👨‍🦳	man, man: wit haar, wit haar
👨🏻‍🦳	lichte huidskleur, man, man: lichte huidskleur en wit haar, wit haar
👨🏼‍🦳	lichtgetinte huidskleur, man, man: lichtgetinte huidskleur en wit haar, wit haar
👨🏽‍🦳	getinte huidskleur, man, man: getinte huidskleur en wit haar, wit haar
👨🏾‍🦳	donkergetinte huidskleur, man, man: donkergetinte huidskleur en wit haar, wit haar
👨🏿‍🦳	donkere huidskleur, man, man: donkere huidskleur en wit haar, wit haar
👨‍🦲	kaal, man, man: kaal
👨🏻‍🦲	kaal, lichte huidskleur, man, man: lichte huidskleur en kaal
👨🏼‍🦲	kaal, lichtgetinte huidskleur, man, man: lichtgetinte huidskleur en kaal
👨🏽‍🦲	getinte huidskleur, kaal, man, man: getinte huidskleur en kaal
👨🏾‍🦲	donkergetinte huidskleur, kaal, man, man: donkergetinte huidskleur en kaal
👨🏿‍🦲	donkere huidskleur, kaal, man, man: donkere huidskleur en kaal
👩	vrouw
👩🏻	lichte huidskleur, vrouw, vrouw: lichte huidskleur
👩🏼	lichtgetinte huidskleur, vrouw, vrouw: lichtgetinte huidskleur
👩🏽	getinte huidskleur, vrouw, vrouw: getinte huidskleur
👩🏾	donkergetinte huidskleur, vrouw, vrouw: donkergetinte huidskleur
👩🏿	donkere huidskleur, vrouw, vrouw: donkere huidskleur
👱‍♀	blond, haar, vrouw, vrouw met blond haar
👱🏻‍♀	blond, haar, lichte huidskleur, vrouw, vrouw met blond haar, vrouw met blond haar: lichte huidskleur
👱🏼‍♀	blond, haar, lichtgetinte huidskleur, vrouw, vrouw met blond haar, vrouw met blond haar: lichtgetinte huidskleur
👱🏽‍♀	blond, getinte huidskleur, haar, vrouw, vrouw met blond haar, vrouw met blond haar: getinte huidskleur
👱🏾‍♀	blond, donkergetinte huidskleur, haar, vrouw, vrouw met blond haar, vrouw met blond haar: donkergetinte huidskleur
👱🏿‍♀	blond, donkere huidskleur, haar, vrouw, vrouw met blond haar, vrouw met blond haar: donkere huidskleur
👩‍🦰	rood haar, vrouw, vrouw: rood haar
👩🏻‍🦰	lichte huidskleur, rood haar, vrouw, vrouw: lichte huidskleur en rood haar
👩🏼‍🦰	lichtgetinte huidskleur, rood haar, vrouw, vrouw: lichtgetinte huidskleur en rood haar
👩🏽‍🦰	getinte huidskleur, rood haar, vrouw, vrouw: getinte huidskleur en rood haar
👩🏾‍🦰	donkergetinte huidskleur, rood haar, vrouw, vrouw: donkergetinte huidskleur en rood haar
👩🏿‍🦰	donkere huidskleur, rood haar, vrouw, vrouw: donkere huidskleur en rood haar
👩‍🦱	krullend haar, vrouw, vrouw: krullend haar
👩🏻‍🦱	krullend haar, lichte huidskleur, vrouw, vrouw: lichte huidskleur en krullend haar
👩🏼‍🦱	krullend haar, lichtgetinte huidskleur, vrouw, vrouw: lichtgetinte huidskleur en krullend haar
👩🏽‍🦱	getinte huidskleur, krullend haar, vrouw, vrouw: getinte huidskleur en krullend haar
👩🏾‍🦱	donkergetinte huidskleur, krullend haar, vrouw, vrouw: donkergetinte huidskleur en krullend haar
👩🏿‍🦱	donkere huidskleur, krullend haar, vrouw, vrouw: donkere huidskleur en krullend haar
👩‍🦳	vrouw, vrouw: wit haar, wit haar
👩🏻‍🦳	lichte huidskleur, vrouw, vrouw: lichte huidskleur en wit haar, wit haar
👩🏼‍🦳	lichtgetinte huidskleur, vrouw, vrouw: lichtgetinte huidskleur en wit haar, wit haar
👩🏽‍🦳	getinte huidskleur, vrouw, vrouw: getinte huidskleur en wit haar, wit haar
👩🏾‍🦳	donkergetinte huidskleur, vrouw, vrouw: donkergetinte huidskleur en wit haar, wit haar
👩🏿‍🦳	donkere huidskleur, vrouw, vrouw: donkere huidskleur en wit haar, wit haar
👩‍🦲	kaal, vrouw, vrouw: kaal
👩🏻‍🦲	kaal, lichte huidskleur, vrouw, vrouw: lichte huidskleur en kaal
👩🏼‍🦲	kaal, lichtgetinte huidskleur, vrouw, vrouw: lichtgetinte huidskleur en kaal
👩🏽‍🦲	getinte huidskleur, kaal, vrouw, vrouw: getinte huidskleur en kaal
👩🏾‍🦲	donkergetinte huidskleur, kaal, vrouw, vrouw: donkergetinte huidskleur en kaal
👩🏿‍🦲	donkere huidskleur, kaal, vrouw, vrouw: donkere huidskleur en kaal
🧓	genderneutraal, oud, oudere volwassene
🧓🏻	genderneutraal, lichte huidskleur, oud, oudere volwassene, oudere volwassene: lichte huidskleur
🧓🏼	genderneutraal, lichtgetinte huidskleur, oud, oudere volwassene, oudere volwassene: lichtgetinte huidskleur
🧓🏽	genderneutraal, getinte huidskleur, oud, oudere volwassene, oudere volwassene: getinte huidskleur
🧓🏾	donkergetinte huidskleur, genderneutraal, oud, oudere volwassene, oudere volwassene: donkergetinte huidskleur
🧓🏿	donkere huidskleur, genderneutraal, oud, oudere volwassene, oudere volwassene: donkere huidskleur
👴	man, oud, oude man, ouder
👴🏻	lichte huidskleur, man, oud, oude man, oude man: lichte huidskleur, ouder
👴🏼	lichtgetinte huidskleur, man, oud, oude man, oude man: lichtgetinte huidskleur, ouder
👴🏽	getinte huidskleur, man, oud, oude man, oude man: getinte huidskleur, ouder
👴🏾	donkergetinte huidskleur, man, oud, oude man, oude man: donkergetinte huidskleur, ouder
👴🏿	donkere huidskleur, man, oud, oude man, oude man: donkere huidskleur, ouder
👵	oud, oude vrouw, ouder, vrouw
👵🏻	lichte huidskleur, oud, oude vrouw, oude vrouw: lichte huidskleur, ouder, vrouw
👵🏼	lichtgetinte huidskleur, oud, oude vrouw, oude vrouw: lichtgetinte huidskleur, ouder, vrouw
👵🏽	getinte huidskleur, oud, oude vrouw, oude vrouw: getinte huidskleur, ouder, vrouw
