😀	lledwenu, wyneb, wyneb yn gwenu â cheg agored
👇🏿	arlliw croen tywyll, bys, corff, gwrthlaw, mynegfys, mynegfys yr wrthlaw yn pwyntio i lawr, mynegfys yr wrthlaw yn pwyntio i lawr: arlliw croen tywyll
☝️	corff, i fyny, mynegfys, mynegfys yn pwyntio i fyny, pwyntio
☝🏻	arlliw croen golau, corff, i fyny, mynegfys, mynegfys yn pwyntio i fyny, mynegfys yn pwyntio i fyny: arlliw croen golau, pwyntio
☝🏼	arlliw croen canolig-golau, corff, i fyny, mynegfys, mynegfys yn pwyntio i fyny, mynegfys yn pwyntio i fyny: arlliw croen canolig-golau, pwyntio
☝🏽	arlliw croen canolog, corff, i fyny, mynegfys, mynegfys yn pwyntio i fyny, mynegfys yn pwyntio i fyny: arlliw croen canolog, pwyntio
☝🏾	arlliw croen canolig-tywyll, corff, i fyny, mynegfys, mynegfys yn pwyntio i fyny, mynegfys yn pwyntio i fyny: arlliw croen canolig-tywyll, pwyntio
☝🏿	arlliw croen tywyll, corff, i fyny, mynegfys, mynegfys yn pwyntio i fyny, mynegfys yn pwyntio i fyny: arlliw croen tywyll, pwyntio
👍️	bys bawd, bys bawd i fyny, corff, ok
👍🏻	arlliw croen golau, bys bawd, bys bawd i fyny, bys bawd i fyny: arlliw croen golau, corff, ok
👍🏼	arlliw croen canolig-golau, bys bawd, bys bawd i fyny, bys bawd i fyny: arlliw croen canolig-golau, corff, ok
👍🏽	arlliw croen canolog, bys bawd, bys bawd i fyny, bys bawd i fyny: arlliw croen canolog, corff, ok
👍🏾	arlliw croen canolig-tywyll, bys bawd, bys bawd i fyny, bys bawd i fyny: arlliw croen canolig-tywyll, corff, ok
👍🏿	arlliw croen tywyll, bys bawd, bys bawd i fyny, bys bawd i fyny: arlliw croen tywyll, corff, ok
👎️	bys bawd, bys bawd i lawr, corff, i lawr, llaw
👎🏻	arlliw croen golau, bys bawd, bys bawd i lawr, bys bawd i lawr: arlliw croen golau, corff, i lawr, llaw
👎🏼	arlliw croen canolig-golau, bys bawd, bys bawd i lawr, bys bawd i lawr: arlliw croen canolig-golau, corff, i lawr, llaw
👎🏽	arlliw croen canolog, bys bawd, bys bawd i lawr, bys bawd i lawr: arlliw croen canolog, corff, i lawr, llaw
👎🏾	arlliw croen canolig-tywyll, bys bawd, bys bawd i lawr, bys bawd i lawr: arlliw croen canolig-tywyll, corff, i lawr, llaw
👎🏿	arlliw croen tywyll, bys bawd, bys bawd i lawr, bys bawd i lawr: arlliw croen tywyll, corff, i lawr, llaw
✊	cau, corff, dwrn, dwrn wedi codi, llaw
✊🏻	arlliw croen golau, cau, corff, dwrn, dwrn wedi codi, dwrn wedi codi: arlliw croen golau, llaw
✊🏼	arlliw croen canolig-golau, cau, corff, dwrn, dwrn wedi codi, dwrn wedi codi: arlliw croen canolig-golau, llaw
✊🏽	arlliw croen canolog, cau, corff, dwrn, dwrn wedi codi, dwrn wedi codi: arlliw croen canolog, llaw
✊🏾	arlliw croen canolig-tywyll, cau, corff, dwrn, dwrn wedi codi, dwrn wedi codi: arlliw croen canolig-tywyll, llaw
✊🏿	arlliw croen tywyll, cau, corff, dwrn, dwrn wedi codi, dwrn wedi codi: arlliw croen tywyll, llaw
👊	cau, corff, dwrn, dwrn yn agosáu, llaw
👊🏻	arlliw croen golau, cau, corff, dwrn, dwrn yn agosáu, dwrn yn agosáu: arlliw croen golau, llaw
👊🏼	arlliw croen canolig-golau, cau, corff, dwrn, dwrn yn agosáu, dwrn yn agosáu: arlliw croen canolig-golau, llaw
👊🏽	arlliw croen canolog, cau, corff, dwrn, dwrn yn agosáu, dwrn yn agosáu: arlliw croen canolog, llaw
👊🏾	arlliw croen canolig-tywyll, cau, corff, dwrn, dwrn yn agosáu, dwrn yn agosáu: arlliw croen canolig-tywyll, llaw
👊🏿	arlliw croen tywyll, cau, corff, dwrn, dwrn yn agosáu, dwrn yn agosáu: arlliw croen tywyll, llaw
🤛	dwrn, dwrn tua’r chwith, tua’r chwith
🤛🏻	arlliw croen golau, dwrn, dwrn tua’r chwith, dwrn tua’r chwith: arlliw croen golau, tua’r chwith
🤛🏼	arlliw croen canolig-golau, dwrn, dwrn tua’r chwith, dwrn tua’r chwith: arlliw croen canolig-golau, tua’r chwith
🤛🏽	arlliw croen canolog, dwrn, dwrn tua’r chwith, dwrn tua’r chwith: arlliw croen canolog, tua’r chwith
🤛🏾	arlliw croen canolig-tywyll, dwrn, dwrn tua’r chwith, dwrn tua’r chwith: arlliw croen canolig-tywyll, tua’r chwith
🤛🏿	arlliw croen tywyll, dwrn, dwrn tua’r chwith, dwrn tua’r chwith: arlliw croen tywyll, tua’r chwith
🤜	dwrn, dwrn tua’r dde, tua’r dde
🤜🏻	arlliw croen golau, dwrn, dwrn tua’r dde, dwrn tua’r dde: arlliw croen golau, tua’r dde
🤜🏼	arlliw croen canolig-golau, dwrn, dwrn tua’r dde, dwrn tua’r dde: arlliw croen canolig-golau, tua’r dde
🤜🏽	arlliw croen canolog, dwrn, dwrn tua’r dde, dwrn tua’r dde: arlliw croen canolog, tua’r dde
🤜🏾	arlliw croen canolig-tywyll, dwrn, dwrn tua’r dde, dwrn tua’r dde: arlliw croen canolig-tywyll, tua’r dde
🤜🏿	arlliw croen tywyll, dwrn, dwrn tua’r dde, dwrn tua’r dde: arlliw croen tywyll, tua’r dde
👏	corff, curo, dwylo yn curo, llaw
👏🏻	arlliw croen golau, corff, curo, dwylo yn curo, dwylo yn curo: arlliw croen golau, llaw
👏🏼	arlliw croen canolig-golau, corff, curo, dwylo yn curo, dwylo yn curo: arlliw croen canolig-golau, llaw
👏🏽	arlliw croen canolog, corff, curo, dwylo yn curo, dwylo yn curo: arlliw croen canolog, llaw
