😀	lol, rindo, risada, rosto, rosto risonho
🙌🏿	ambas as mãos, comemoração, levantando ambas as mãos para comemorar, mãos para cima, mãos para cima: pele escura, pele escura
👐	abertas, mão, mãos abertas, sinal, sinal de mãos abertas
👐🏻	abertas, mão, mãos abertas, mãos abertas: pele clara, pele clara, sinal, sinal de mãos abertas
👐🏼	abertas, mão, mãos abertas, mãos abertas: pele morena clara, pele morena clara, sinal, sinal de mãos abertas
👐🏽	abertas, mão, mãos abertas, mãos abertas: pele morena, pele morena, sinal, sinal de mãos abertas
👐🏾	abertas, mão, mãos abertas, mãos abertas: pele morena escura, pele morena escura, sinal, sinal de mãos abertas
👐🏿	abertas, mão, mãos abertas, mãos abertas: pele escura, pele escura, sinal, sinal de mãos abertas
🤲	oração, palmas unidas para cima
🤲🏻	oração, palmas unidas para cima, palmas unidas para cima: pele clara, pele clara
🤲🏼	oração, palmas unidas para cima, palmas unidas para cima: pele morena clara, pele morena clara
🤲🏽	oração, palmas unidas para cima, palmas unidas para cima: pele morena, pele morena
🤲🏾	oração, palmas unidas para cima, palmas unidas para cima: pele morena escura, pele morena escura
🤲🏿	oração, palmas unidas para cima, palmas unidas para cima: pele escura, pele escura
🤝	aperto, aperto de mãos, combinado, cumprimento, mãos
🙏	gesto, mão, mãos juntas, reza, rezando, rezar
🙏🏻	gesto, mão, mãos juntas, mãos juntas: pele clara, pele clara, reza, rezando, rezar
🙏🏼	gesto, mão, mãos juntas, mãos juntas: pele morena clara, pele morena clara, reza, rezando, rezar
🙏🏽	gesto, mão, mãos juntas, mãos juntas: pele morena, pele morena, reza, rezando, rezar
🙏🏾	gesto, mão, mãos juntas, mãos juntas: pele morena escura, pele morena escura, reza, rezando, rezar
🙏🏿	gesto, mão, mãos juntas, mãos juntas: pele escura, pele escura, reza, rezando, rezar
✍️	caneta, escrevendo, escrevendo à mão, mão
✍🏻	caneta, escrevendo, escrevendo à mão, escrevendo à mão: pele clara, mão, pele clara
✍🏼	caneta, escrevendo, escrevendo à mão, escrevendo à mão: pele morena clara, mão, pele morena clara
✍🏽	caneta, escrevendo, escrevendo à mão, escrevendo à mão: pele morena, mão, pele morena
✍🏾	caneta, escrevendo, escrevendo à mão, escrevendo à mão: pele morena escura, mão, pele morena escura
✍🏿	caneta, escrevendo, escrevendo à mão, escrevendo à mão: pele escura, mão, pele escura
💅	cosméticos, esmalte, esmalte de unha, unhas
💅🏻	cosméticos, esmalte, esmalte de unha, esmalte de unha: pele clara, pele clara, unhas
💅🏼	cosméticos, esmalte, esmalte de unha, esmalte de unha: pele morena clara, pele morena clara, unhas
💅🏽	cosméticos, esmalte, esmalte de unha, esmalte de unha: pele morena, pele morena, unhas
💅🏾	cosméticos, esmalte, esmalte de unha, esmalte de unha: pele morena escura, pele morena escura, unhas
💅🏿	cosméticos, esmalte, esmalte de unha, esmalte de unha: pele escura, pele escura, unhas
🤳	camera, celular, foto, selfie, smartphone
🤳🏻	camera, celular, foto, pele clara, selfie, selfie: pele clara, smartphone
🤳🏼	camera, celular, foto, pele morena clara, selfie, selfie: pele morena clara, smartphone
🤳🏽	camera, celular, foto, pele morena, selfie, selfie: pele morena, smartphone
🤳🏾	camera, celular, foto, pele morena escura, selfie, selfie: pele morena escura, smartphone
🤳🏿	camera, celular, foto, pele escura, selfie, selfie: pele escura, smartphone
💪	bíceps, contraído, engraçado, forte, músculo
💪🏻	bíceps, bíceps: pele clara, contraído, engraçado, forte, músculo, pele clara
💪🏼	bíceps, bíceps: pele morena clara, contraído, engraçado, forte, músculo, pele morena clara
💪🏽	bíceps, bíceps: pele morena, contraído, engraçado, forte, músculo, pele morena
💪🏾	bíceps, bíceps: pele morena escura, contraído, engraçado, forte, músculo, pele morena escura
💪🏿	bíceps, bíceps: pele escura, contraído, engraçado, forte, músculo, pele escura
🦾	braço mecânico
🦿	perna mecânica
🦵	chute, membro, perna
🦵🏻	chute, membro, pele clara, perna, perna: pele clara
🦵🏼	chute, membro, pele morena clara, perna, perna: pele morena clara
