😀	бет, ырсай, ырсайган бет
🤟🏾	кара тору, кол, сени сүйөм, сүйөм сени деген ишарат, сүйөм сени деген ишарат: кара тору
🤟🏿	кара, кол, сени сүйөм, сүйөм сени деген ишарат, сүйөм сени деген ишарат: кара
🤘	дене, кол, манжа, мүйүз, мүйүз белгиси
🤘🏻	акжуумал, дене, кол, манжа, мүйүз, мүйүз белгиси, мүйүз белгиси: акжуумал
🤘🏼	буудай жүздүү, дене, кол, манжа, мүйүз, мүйүз белгиси, мүйүз белгиси: буудай жүздүү
🤘🏽	дене, кол, манжа, мүйүз, мүйүз белгиси, мүйүз белгиси: орточо, орточо
🤘🏾	дене, кара тору, кол, манжа, мүйүз, мүйүз белгиси, мүйүз белгиси: кара тору
🤘🏿	дене, кара, кол, манжа, мүйүз, мүйүз белгиси, мүйүз белгиси: кара
🤙	ишарат, кол, мага чал, “мага чал” ишараты
🤙🏻	акжуумал, ишарат, кол, мага чал, “мага чал” ишараты, “мага чал” ишараты: акжуумал
🤙🏼	буудай жүздүү, ишарат, кол, мага чал, “мага чал” ишараты, “мага чал” ишараты: буудай жүздүү
🤙🏽	ишарат, кол, мага чал, орточо, “мага чал” ишараты, “мага чал” ишараты: орточо
🤙🏾	ишарат, кара тору, кол, мага чал, “мага чал” ишараты, “мага чал” ишараты: кара тору
🤙🏿	ишарат, кара, кол, мага чал, “мага чал” ишараты, “мага чал” ишараты: кара
👈️	кол, көрсөт, манжа, сол тарапты көрсөткөн сөөмөй, сөөмөй
👈🏻	акжуумал, кол, көрсөт, манжа, сол тарапты көрсөткөн сөөмөй, сол тарапты көрсөткөн сөөмөй: акжуумал, сөөмөй
👈🏼	буудай жүздүү, кол, көрсөт, манжа, сол тарапты көрсөткөн сөөмөй, сол тарапты көрсөткөн сөөмөй: буудай жүздүү, сөөмөй
👈🏽	кол, көрсөт, манжа, орточо, сол тарапты көрсөткөн сөөмөй, сол тарапты көрсөткөн сөөмөй: орточо, сөөмөй
👈🏾	кара тору, кол, көрсөт, манжа, сол тарапты көрсөткөн сөөмөй, сол тарапты көрсөткөн сөөмөй: кара тору, сөөмөй
👈🏿	кара, кол, көрсөт, манжа, сол тарапты көрсөткөн сөөмөй, сол тарапты көрсөткөн сөөмөй: кара, сөөмөй
👉️	кол, көрсөт, манжа, оң тарапты көрсөткөн сөөмөй, сөөмөй
👉🏻	акжуумал, кол, көрсөт, манжа, оң тарапты көрсөткөн сөөмөй, оң тарапты көрсөткөн сөөмөй: акжуумал, сөөмөй
👉🏼	буудай жүздүү, кол, көрсөт, манжа, оң тарапты көрсөткөн сөөмөй, оң тарапты көрсөткөн сөөмөй: буудай жүздүү, сөөмөй
👉🏽	кол, көрсөт, манжа, орточо, оң тарапты көрсөткөн сөөмөй, оң тарапты көрсөткөн сөөмөй: орточо, сөөмөй
👉🏾	кара тору, кол, көрсөт, манжа, оң тарапты көрсөткөн сөөмөй, оң тарапты көрсөткөн сөөмөй: кара тору, сөөмөй
👉🏿	кара, кол, көрсөт, манжа, оң тарапты көрсөткөн сөөмөй, оң тарапты көрсөткөн сөөмөй: кара, сөөмөй
👆️	кол, көрсөт, сөөмөй, сөөмөйү өйдө караган колдун арткы бети, өйдө
👆🏻	акжуумал, кол, көрсөт, сөөмөй, сөөмөйү өйдө караган колдун арткы бети, сөөмөйү өйдө караган колдун арткы бети: акжуумал, өйдө
👆🏼	буудай жүздүү, кол, көрсөт, сөөмөй, сөөмөйү өйдө караган колдун арткы бети, сөөмөйү өйдө караган колдун арткы бети: буудай жүздүү, өйдө
