😀	fjes, glis, glisefjes
🙌🏾	begge hender, feirer, feiring, hevede hender, hevede hender: hudtype 5, hudtype 5, hånd, rekker begge armene i været
🙌🏿	begge hender, feirer, feiring, hevede hender, hevede hender: hudtype 6, hudtype 6, hånd, rekker begge armene i været
👐	hender, hånd, åpne, åpne hender
👐🏻	hender, hudtype 1–2, hånd, åpne, åpne hender: hudtype 1–2
👐🏼	hender, hudtype 3, hånd, åpne, åpne hender: hudtype 3
👐🏽	hender, hudtype 4, hånd, åpne, åpne hender: hudtype 4
👐🏾	hender, hudtype 5, hånd, åpne, åpne hender: hudtype 5
👐🏿	hender, hudtype 6, hånd, åpne, åpne hender: hudtype 6
🤲	ber, bønn, hånd, håndflatene sammen
🤲🏻	ber, bønn, hudtype 1–2, hånd, håndflatene sammen, håndflatene sammen: hudtype 1–2
🤲🏼	ber, bønn, hudtype 3, hånd, håndflatene sammen, håndflatene sammen: hudtype 3
🤲🏽	ber, bønn, hudtype 4, hånd, håndflatene sammen, håndflatene sammen: hudtype 4
🤲🏾	ber, bønn, hudtype 5, hånd, håndflatene sammen, håndflatene sammen: hudtype 5
🤲🏿	ber, bønn, hudtype 6, hånd, håndflatene sammen, håndflatene sammen: hudtype 6
🤝	avtale, hånd, håndhilse, håndtrykk, møte
🙏	be, ber, bevegelse, bønn, foldede hender, hånd
🙏🏻	be, ber, bevegelse, bønn, foldede hender, foldede hender: hudtype 1–2, hudtype 1–2, hånd
🙏🏼	be, ber, bevegelse, bønn, foldede hender, foldede hender: hudtype 3, hudtype 3, hånd
🙏🏽	be, ber, bevegelse, bønn, foldede hender, foldede hender: hudtype 4, hudtype 4, hånd
🙏🏾	be, ber, bevegelse, bønn, foldede hender, foldede hender: hudtype 5, hudtype 5, hånd
🙏🏿	be, ber, bevegelse, bønn, foldede hender, foldede hender: hudtype 6, hudtype 6, hånd
✍️	hånd, kropp, skrive, skrivende hånd
✍🏻	hudtype 1–2, hånd, kropp, skrive, skrivende hånd, skrivende hånd: hudtype 1–2
✍🏼	hudtype 3, hånd, kropp, skrive, skrivende hånd, skrivende hånd: hudtype 3
✍🏽	hudtype 4, hånd, kropp, skrive, skrivende hånd, skrivende hånd: hudtype 4
✍🏾	hudtype 5, hånd, kropp, skrive, skrivende hånd, skrivende hånd: hudtype 5
✍🏿	hudtype 6, hånd, kropp, skrive, skrivende hånd, skrivende hånd: hudtype 6
💅	kosmetikk, manikyr, negl, neglelakk
💅🏻	hudtype 1–2, kosmetikk, manikyr, negl, neglelakk, neglelakk: hudtype 1–2
💅🏼	hudtype 3, kosmetikk, manikyr, negl, neglelakk, neglelakk: hudtype 3
💅🏽	hudtype 4, kosmetikk, manikyr, negl, neglelakk, neglelakk: hudtype 4
💅🏾	hudtype 5, kosmetikk, manikyr, negl, neglelakk, neglelakk: hudtype 5
💅🏿	hudtype 6, kosmetikk, manikyr, negl, neglelakk, neglelakk: hudtype 6
🤳	kamera, selfie, telefon
🤳🏻	hudtype 1–2, kamera, selfie, selfie: hudtype 1–2, telefon
🤳🏼	hudtype 3, kamera, selfie, selfie: hudtype 3, telefon
🤳🏽	hudtype 4, kamera, selfie, selfie: hudtype 4, telefon
🤳🏾	hudtype 5, kamera, selfie, selfie: hudtype 5, telefon
🤳🏿	hudtype 6, kamera, selfie, selfie: hudtype 6, telefon
💪	biceps, fleks, muskel, muskelfleksing, sterk, tegneserie
💪🏻	biceps, biceps: hudtype 1–2, fleks, hudtype 1–2, muskel, muskelfleksing, sterk, tegneserie
💪🏼	biceps, biceps: hudtype 3, fleks, hudtype 3, muskel, muskelfleksing, sterk, tegneserie
💪🏽	biceps, biceps: hudtype 4, fleks, hudtype 4, muskel, muskelfleksing, sterk, tegneserie
💪🏾	biceps, biceps: hudtype 5, fleks, hudtype 5, muskel, muskelfleksing, sterk, tegneserie
💪🏿	biceps, biceps: hudtype 6, fleks, hudtype 6, muskel, muskelfleksing, sterk, tegneserie
🦾	mekanisk arm, protese, tilgjengelighet
🦿	mekanisk bein, protese, tilgjengelighet
🦵	bein, lem, sparke
🦵🏻	bein, bein: hudtype 1–2, hudtype 1–2, lem, sparke
