😀	fjes, glis, glisefjes
⚗️	destillasjonskolbe, destillerkolbe, kjemi, verktøy
🧪	eksperiment, forskning, kjemi, kjemiker, lab, prøverør, reagensrør
🧫	bakterie, biolog, biologi, kultur, lab, petriskål
🧬	biolog, dna, evolusjon, gen, gener, genetikk, liv
🔬	mikroskop, verktøy, vitenskap
🔭	astronomi, teleskop, verktøy, vitenskap
📡	antenne, kommunikasjon, parabol, parabolantenne, satellitt, satellittantenne
💉	lege, medisin, nål, sprøyte, vaksine
🩸	bloddråpe, blodgiver, medisin, mens, menstruasjon
💊	lege, medisin, pille, tablett
🩹	behandling, plaster, sår
🩺	hjerte, lege, medisin, stetoskop
🚪	dør
🛏️	hotell, seng, sove
🛋️	hotell, lampe, sofa, sofa og lampe
🪑	sete, sitte, sitteplass, stol
🚽	dass, do, toalett, vannklosett, wc
🚿	dusj, vann
🛁	bad, badekar, badestamp
🪒	barbere, barbering, barberkniv, skarp
🧴	fuktighetskrem, lotion, lotionflaske, shampoo, sjampo, solkrem
🧷	bleie, punk, sikkerhetsnål
🧹	feie, feiekost, heks, rengjøre
🧺	jordbruk, klesvask, kurv, piknik
🧻	rull med papir, toalettpapir, tørkepapir, tørkerull
🧼	bad, skum, såpe, såpeskål, såpestykke, vaske
🧽	absorberende, porøs, rengjøre, svamp, vaske
🧯	brann, brannslokkingsapparat, brannslukningsapparat, slokke, slukke
🛒	handle, handlevogn, innkjøp, tralle, vogn
🚬	røyking, røyking tillatt, sigarett, skilt
⚰️	begravelse, død, kiste
⚱️	begravelse, død, kremasjon, urne
🗿	moai, moai-statue, statue
🏧	automatisk, bank, minibank, minibankskilt, penger
🚮	avfall, avfallsskilt, skilt, søppel
🚰	drikke, drikkevann, vann
♿️	handikaptilgang, rullestol, rullestolbruker, rullestolsymbol
🚹️	do, herrer, herretoalett, mannesymbol, toalett, wc
🚺️	damer, dametoalett, do, kvinnesymbol, toalett, wc
🚻	WC, do, toalett, toalettskilt
🚼️	babyskilt, babysymbol, stellestasjon
🚾	WC, do, toalett
🛂	kontroll, pass, passkontroll
🛃	grense, toll
🛄	bagasje, bagasjebånd, rullebånd
🛅	bagasje, bagasjeoppbevaring, oppbevaring, oppbevaringsboks
⚠️	OBS, advarsel
🚸	barn, barn krysser veien, krysser, skilt
⛔️	adgang forbudt, enveiskjøring, ingen adgang, skilt, stopp
🚫	adgang forbudt, forbudt, ikke, nei, skilt
🚳	ingen sykler, kjøretøy, sykkel, sykkel ikke tillatt, sykler forbudt
🚭️	ingen røyking, røyking forbudt, skilt
🚯	forsøpling ikke tillatt, ikke avfall, ingen kasting, skilt
🚱	ikke drikkbart, ikke drikkevann, vann
🚷	fotgjenger, fotgjengere forbudt, fotgjengere ikke tillatt, gående, ingen fotgjengere, skilt
📵	ingen telefonsamtaler, mobil ikke tillatt, mobiltelefon ikke tillatt, telefon
🔞	18, aldersgrense 18 år, attenårsgrense, ingen under 18, under 18
☢️	radioaktiv, radioaktivitet, radioaktivt
☣️	advarsel, biologisk fare, farlig biologisk materiale, skilt
⬆️	nord, oppoverpil, pil, pil opp, retning
↗️	nordøst, pil, pil opp-høyre, retning
➡️	høyrepil, pil, pil høyre, retning, øst
↘️	pil, pil ned-høyre, retning, sørøst
⬇️	nedoverpil, pil, pil ned, retning, sør
↙️	pil, pil ned-venstre, retning, sørvest
⬅️	pil, pil venstre, retning, venstrepil, vest
↖️	nordvest, pil, pil opp-venstre, retning
↕️	pil, pil opp og ned
↔️	pil, pil venstre-høyre
↩️	pil, pil som bøyer mot venstre
↪️	pil, pil som bøyer mot høyre
⤴️	pil, pil som bøyer opp
⤵️	ned, pil, pil som bøyer ned
🔃	last inn på nytt, piler, vertikale piler med klokken
🔄	mot klokken, piler, piler mot klokken
🔙	BACK-pil, pil, pil til venstre, tilbake, tilbakepil
🔚	END-pil, pil, pil til venstre, slutt, slutt med pil, sluttpil
🔛	ON, ON!-pil, PÅ, pil, utrop, utropstegn
🔜	SOON-pil, pil, snart, snart med pil
🔝	TOP, TOP-pil, opp, pil opp, topp, topp med pil
🛐	religion, religiøst samlingssted, tilbedelse
⚛️	ateist, atom, atomsymbol
🕉️	hindu, om, religion
✡️	Davidstjerne, david, jøde, jødisk, religion, stjerne
☸️	buddhist, dharma, dharmas hjul, hjul, religion
☯️	religion, tao, taoist, yang, yin, yin yang
✝️	kors, kristen, latinsk kors, religion
☦️	kors, kristen, ortodoks, ortodokst kors, religion
☪️	islam, muslim, religion, stjerne og halvmåne
☮️	fred, fredssymbol
🕎	lysestake, menora, religion
🔯	magi, sekskantet, sekstagget stjerne med prikk, stjerne
♈️	Væren, stjernetegn
♉️	Tyren, stjernetegn
♊️	Tvillingene, stjernetegn
♋️	Krepsen, stjernetegn
♌️	Løven, stjernetegn
♍️	Jomfruen, stjernetegn
♎️	Vekten, stjernetegn
♏️	Skorpionen, stjernetegn
♐️	Skytten, stjernetegn
♑️	Steinbukken, stjernetegn
♒️	Vannmannen, stjernetegn
♓️	Fiskene, stjernetegn
⛎	Slangebæreren, stjernetegn
🔀	bland spor-symbol, kryssede piler mot høyre, piler
🔁	gjenta-knapp, med klokken, piler
🔂	1 gang, gjenta ett spor-knapp, med klokken, piler, én gang
▶	avspillingsknapp, høyre, pil, trekant
⏩	dobbel pil, høyre, spol framover-knapp, spoling
⏭	neste scene, neste spor, neste spor-knapp, pil, trekant
⏯	høyre, pause, pil, spill av, spill av/pause-knapp, trekant
◀	bakover-knapp, pil, tilbake, trekant, venstre
⏪	dobbel pil, spol tilbake-knapp, spoling, venstre
⏮	forrige scene, forrige spor-knapp, pil, trekant
🔼	oppover, oppover-knapp, pil
⏫	dobbel, opp, pil, raskt opp-knapp
🔽	ned, nedover, nedover-knapp
⏬	dobbelt pil ned, ned, pil, raskt ned-knapp
⏸️	dobbel, pause-knapp, strek, vertikal
⏹️	firkant, stopp, stopp-knapp
⏺️	innspilling, sirkel, spill inn-knapp, ta opp
⏏️	eject, knapp, løse ut, mat ut-knapp, mate ut
🎦	film, filmkamera, kamera, kino, underholdning
🔅	lav, lite lys-knapp, lysstyrke
🔆	høy, lysstyrke, mye lys-knapp
📶	antenne, mobil, mobilsignaler, signal, signalstyrke, telefon
📳	mobil, mobiltelefon, modus, vibrasjon, vibrering, vibreringsmodus
📴	av, mobil, mobiltelefon av
♀️	kvinne, kvinnesymbol
♂️	mann, mannssymbol
⚕️	asklepiosstav, lege, legesymbol, medisin
♾️	for alltid, grenseløs, uendelig, universal
♻️	resirkulering, resirkuleringssymbol, symbol, universelt
⚜	fleur-de-lis, fransk lilje
🔱	anker, emblem, treenighet, treforkemblem, tridentsymbol
📛	navn, navneskilt, skilt
🔰	grønn og gul, grønt og gult blad, japansk, japansk tegn for nybegynner, nybegynner
⭕️	o, rød, sirkel, stor, tykk rød sirkel
✅	avkryssing, avmerking, hake, hakemerke i firkant, ✓
☑️	avkrysset boks, boks, boks med hakemerke, hakemerke, ✓
✔️	hake, hakemerke, merke, ✓
✖️	avbryt, gangetegn, multiplikasjon, multiplisere, x, ×
❌	X, kryss, rødt kryss, x, ×
❎	kryss, kryss i firkant, kvadrat, x, ×
➕	+, fortegn, matte, pluss, plusstegn
➖	-, fortegn, matte, minus, minustegn, −
➗	dele, deletegn, deling, divisjon, divisjonstegn, ÷
➰	løkke, løkketegn
➿	dobbel løkke, dobbel løkke-tegn
〽️	merke, merke for nytt parti, nytt, parti
✳️	*, asterisk, asterisk med åtte spisser, stjerne
✴️	*, stjerne, åttetagget stjerne
❇️	*, gnist
‼️	!, !!, bangbang, dobbelt utropstegn, tegn, tegnsetting, utropstegn
⁉️	!, !?, ?, spørrende, spørsmål, spørsmålstegn, tegn, tegnsetting, utrop, utropstegn, utropstegn og spørsmålstegn
❓️	?, spørsmål, spørsmålstegn
❔	?, hvitt spørsmålstegn, spørsmål
❕	!, hvitt utropstegn, utrop
❗️	!, tegn, tegnsetting, utrop, utropstegn
〰️	bølge, bølgestrek, bølget bindestrek, tegn for lang lyd
©️	copyright, opphavsrett
®️	r, registrert varemerke, varemerkesymbol
™️	tm, trademark, varemerke
#⃣	taster, taster: #
*⃣	taster, taster: *
0⃣	taster, taster: 0
1⃣	taster, taster: 1
2⃣	taster, taster: 2
3⃣	taster, taster: 3
4⃣	taster, taster: 4
5⃣	taster, taster: 5
6⃣	taster, taster: 6
7⃣	taster, taster: 7
8⃣	taster, taster: 8
9⃣	taster, taster: 9
🔟	taster, taster: 10
🔠	ABCD, bokstaver, inndata, store bokstaver
🔡	abcd, bokstaver, inndata, små bokstaver
🔢	1234, inndata, numeriske data, tall
🔣	inndata, symboler
🔤	ABC, inndata, latinsk alfabet
🅰️	A, A-knapp (blodtype), blod, blodtype, type A
🆎	AB, AB-knapp (blodtype), blod, blodtype, type AB
🅱️	B, B-knapp (blodtype), blod, blodtype, type B
🆑	CL-knapp, clear, slett, tøm
🆒	COOL-knapp, cool
🆓	FREE-knapp, free, free-symbol, gratis
ℹ️	i, info, informasjon
🆔	ID-knapp, ID-symbol, identitet
Ⓜ️	M med ring rundt, m, sirkel
🆕	NEW-knapp, new, new-symbol, ny, nyhet
🆖	NG, NG-knapp, NG-symbol, ikke bra, no good
🅾️	O, O-knapp (blodtype), blod, blodtype, type O
🆗	OK-knapp, OK-symbol
🅿️	P-knapp, parkering, parkeringsplass
🆘	SOS-knapp, SOS-symbol, hjelp, hjelp-symbol
🆙	UP!-knapp, UP!-symbol, opp, opp-symbol
🆚	VS-knapp, versus, vs-symbol
🈁	her, japansk, katakana, «her» på japansk, «koko», ココ
🈂️	gebyr, japansk, katakana, «gebyr» på japansk, «sa», サ
🈷	ideograf, japansk, månedlig beløp, «månedlig beløp» på japansk, 月
🈶	ideograf, ikke gratis, japansk, «ikke gratis» på japansk, 有
🈯	ideograf, japansk, reservert, «reservert» på japansk, 指
🉐	ideograf, japansk, spesialtilbud, «spesialtilbud» på japansk, 得
🈹	ideograf, japansk, rabatt, «rabatt» på japansk, 割
🈚	gratis, ideograf, japansk, «gratis» på japansk, 無
🈲	forbudt, ideograf, japansk, «forbudt» på japansk, 禁
🉑	akseptabelt, ideograf, japansk, «akseptabelt» på japansk, 可
🈸	ideograf, japansk, søknad, «søknad» på japansk, 申
🈴	bestått, ideograf, japansk, «bestått» på japansk, 合
🈳	ideograf, japansk, ledig, «ledig» på japansk, 空
㊗️	gratulerer, ideograf, japansk, «gratulerer» på japansk, 祝
㊙️	hemmelig, ideograf, japansk, «hemmelig» på japansk, 秘
🈺	ideograf, japansk, «åpen for handel» på japansk, åpen for handel, 営
🈵	fullt, ideograf, japansk, «fullt» på japansk, 満
🔴	geometrisk, rød, rød sirkel, sirkel
🟠	oransje, oransje sirkel, sirkel
🟡	gul, gul sirkel, sirkel
🟢	grønn, grønn sirkel, sirkel
🔵	blå, blå sirkel, geometrisk, sirkel
🟣	lilla, lilla sirkel, sirkel
🟤	brun, brun sirkel, sirkel
⚫️	geometrisk, sirkel, svart sirkel
⚪️	geometrisk, hvit sirkel, sirkel
🟥	kvadrat, rød, rødt, rødt kvadrat
🟧	kvadrat, oransje, oransje kvadrat
🟨	gul, gult, gult kvadrat, kvadrat
🟩	grønn, grønt, grønt kvadrat, kvadrat
🟦	blå, blått, blått kvadrat, kvadrat
🟪	kvadrat, lilla, lilla kvadrat
🟫	brun, brunt, brunt kvadrat, kvadrat
⬛️	firkant, geometrisk, kvadrat, stor svart firkant
⬜️	firkant, geometrisk, kvadrat, stor hvit firkant
◼️	firkant, geometrisk, kvadrat, mellomstor svart firkant
◻️	firkant, geometrisk, kvadrat, mellomstor hvit firkant
◾️	firkant, geometrisk, kvadrat, liten/mellomstor svart firkant
◽️	firkant, geometrisk, kvadrat, liten/mellomstor hvit firkant
▪️	firkant, geometrisk, kvadrat, liten svart firkant
▫️	firkant, geometrisk, kvadratt, liten hvit firkant
🔶	geometrisk, oransje, ruter, stort oransje rutersymbol
🔷	blå, geometrisk, ruter, stort blått rutersymbol
🔸	geometrisk, lite oransje rutersymbol, oransje, ruter
🔹	blå, geometrisk, lite blått rutersymbol, ruter
🔺	geometrisk, oppover, rød trekant som peker opp, trekant
🔻	geometrisk, nedover, rød trekant som peker ned, trekant
💠	blomst, diamant, diamant med prikk, søtt
🔘	knapp, radio, radioknapp
🔳	firkant, hvit firkantet knapp, knapp
🔲	firkant, knapp, svart firkantet knapp
🏁	formel 1, motorsport, mål, racingflagg, rutete flagg
🚩	golf, posisjon, trekantet, vimpel
🎌	feiring, flagg, kryssede flagg, kryssede japanske flagg, krysset
🏴	flagg, flagring, svart, svart flagg
🏳️	flagg, flagring, hvitt, hvitt flagg
🏳‍🌈	flagg, regnbue, regnbueflagg
🏴‍☠	Kaptein Sabeltann, pirat, plyndre, sjørøverflagg, skatt
🇦🇨	flagg, flagg: Ascension
🇦🇩	flagg, flagg: Andorra
🇦🇪	flagg, flagg: De forente arabiske emirater
🇦🇫	flagg, flagg: Afghanistan
🇦🇬	flagg, flagg: Antigua og Barbuda
🇦🇮	flagg, flagg: Anguilla
🇦🇱	flagg, flagg: Albania
🇦🇲	flagg, flagg: Armenia
🇦🇴	flagg, flagg: Angola
🇦🇶	flagg, flagg: Antarktis
🇦🇷	flagg, flagg: Argentina
🇦🇸	flagg, flagg: Amerikansk Samoa
🇦🇹	flagg, flagg: Østerrike
🇦🇺	flagg, flagg: Australia
🇦🇼	flagg, flagg: Aruba
🇦🇽	flagg, flagg: Åland
🇦🇿	flagg, flagg: Aserbajdsjan
🇧🇦	flagg, flagg: Bosnia-Hercegovina
🇧🇧	flagg, flagg: Barbados
🇧🇩	flagg, flagg: Bangladesh
🇧🇪	flagg, flagg: Belgia
🇧🇫	flagg, flagg: Burkina Faso
🇧🇬	flagg, flagg: Bulgaria
🇧🇭	flagg, flagg: Bahrain
🇧🇮	flagg, flagg: Burundi
🇧🇯	flagg, flagg: Benin
🇧🇱	flagg, flagg: Saint-Barthélemy
🇧🇲	flagg, flagg: Bermuda
🇧🇳	flagg, flagg: Brunei
🇧🇴	flagg, flagg: Bolivia
🇧🇶	flagg, flagg: Karibisk Nederland
🇧🇷	flagg, flagg: Brasil
🇧🇸	flagg, flagg: Bahamas
🇧🇹	flagg, flagg: Bhutan
🇧🇻	flagg, flagg: Bouvetøya
🇧🇼	flagg, flagg: Botswana
🇧🇾	flagg, flagg: Hviterussland
🇧🇿	flagg, flagg: Belize
🇨🇦	flagg, flagg: Canada
🇨🇨	flagg, flagg: Kokosøyene
🇨🇩	flagg, flagg: Kongo-Kinshasa
🇨🇫	flagg, flagg: Den sentralafrikanske republikk
🇨🇬	flagg, flagg: Kongo-Brazzaville
🇨🇭	flagg, flagg: Sveits
🇨🇮	flagg, flagg: Elfenbenskysten
🇨🇰	flagg, flagg: Cookøyene
🇨🇱	flagg, flagg: Chile
🇨🇲	flagg, flagg: Kamerun
🇨🇳	flagg, flagg: Kina
🇨🇴	flagg, flagg: Colombia
🇨🇵	flagg, flagg: Clippertonøya
🇨🇷	flagg, flagg: Costa Rica
🇨🇺	flagg, flagg: Cuba
🇨🇻	flagg, flagg: Kapp Verde
🇨🇼	flagg, flagg: Curaçao
🇨🇽	flagg, flagg: Christmasøya
🇨🇾	flagg, flagg: Kypros
🇨🇿	flagg, flagg: Tsjekkia
🇩🇪	flagg, flagg: Tyskland
🇩🇬	flagg, flagg: Diego Garcia
🇩🇯	flagg, flagg: Djibouti
🇩🇰	flagg, flagg: Danmark
🇩🇲	flagg, flagg: Dominica
🇩🇴	flagg, flagg: Den dominikanske republikk
🇩🇿	flagg, flagg: Algerie
🇪🇦	flagg, flagg: Ceuta og Melilla
🇪🇨	flagg, flagg: Ecuador
🇪🇪	flagg, flagg: Estland
🇪🇬	flagg, flagg: Egypt
🇪🇭	flagg, flagg: Vest-Sahara
🇪🇷	flagg, flagg: Eritrea
🇪🇸	flagg, flagg: Spania
🇪🇹	flagg, flagg: Etiopia
🇪🇺	flagg, flagg: EU
🇫🇮	flagg, flagg: Finland
🇫🇯	flagg, flagg: Fiji
🇫🇰	flagg, flagg: Falklandsøyene
🇫🇲	flagg, flagg: Mikronesiaføderasjonen
🇫🇴	flagg, flagg: Færøyene
🇫🇷	flagg, flagg: Frankrike
🇬🇦	flagg, flagg: Gabon
🇬🇧	flagg, flagg: Storbritannia
🇬🇩	flagg, flagg: Grenada
🇬🇪	flagg, flagg: Georgia
🇬🇫	flagg, flagg: Fransk Guyana
🇬🇬	flagg, flagg: Guernsey
🇬🇭	flagg, flagg: Ghana
🇬🇮	flagg, flagg: Gibraltar
🇬🇱	flagg, flagg: Grønland
🇬🇲	flagg, flagg: Gambia
🇬🇳	flagg, flagg: Guinea
🇬🇵	flagg, flagg: Guadeloupe
🇬🇶	flagg, flagg: Ekvatorial-Guinea
🇬🇷	flagg, flagg: Hellas
🇬🇸	flagg, flagg: Sør-Georgia og Sør-Sandwichøyene
🇬🇹	flagg, flagg: Guatemala
🇬🇺	flagg, flagg: Guam
🇬🇼	flagg, flagg: Guinea-Bissau
🇬🇾	flagg, flagg: Guyana
🇭🇰	flagg, flagg: Hongkong S.A.R. Kina
🇭🇲	flagg, flagg: Heard- og McDonaldøyene
🇭🇳	flagg, flagg: Honduras
🇭🇷	flagg, flagg: Kroatia
🇭🇹	flagg, flagg: Haiti
🇭🇺	flagg, flagg: Ungarn
🇮🇨	flagg, flagg: Kanariøyene
🇮🇩	flagg, flagg: Indonesia
🇮🇪	flagg, flagg: Irland
🇮🇱	flagg, flagg: Israel
🇮🇲	flagg, flagg: Man
🇮🇳	flagg, flagg: India
🇮🇴	flagg, flagg: Det britiske territoriet i Indiahavet
🇮🇶	flagg, flagg: Irak
🇮🇷	flagg, flagg: Iran
🇮🇸	flagg, flagg: Island
🇮🇹	flagg, flagg: Italia
🇯🇪	flagg, flagg: Jersey
🇯🇲	flagg, flagg: Jamaica
🇯🇴	flagg, flagg: Jordan
🇯🇵	flagg, flagg: Japan
🇰🇪	flagg, flagg: Kenya
🇰🇬	flagg, flagg: Kirgisistan
🇰🇭	flagg, flagg: Kambodsja
🇰🇮	flagg, flagg: Kiribati
🇰🇲	flagg, flagg: Komorene
🇰🇳	flagg, flagg: Saint Kitts og Nevis
🇰🇵	flagg, flagg: Nord-Korea
🇰🇷	flagg, flagg: Sør-Korea
🇰🇼	flagg, flagg: Kuwait
🇰🇾	flagg, flagg: Caymanøyene
🇰🇿	flagg, flagg: Kasakhstan
🇱🇦	flagg, flagg: Laos
🇱🇧	flagg, flagg: Libanon
🇱🇨	flagg, flagg: St. Lucia
🇱🇮	flagg, flagg: Liechtenstein
🇱🇰	flagg, flagg: Sri Lanka
🇱🇷	flagg, flagg: Liberia
🇱🇸	flagg, flagg: Lesotho
🇱🇹	flagg, flagg: Litauen
🇱🇺	flagg, flagg: Luxemburg
🇱🇻	flagg, flagg: Latvia
🇱🇾	flagg, flagg: Libya
🇲🇦	flagg, flagg: Marokko
🇲🇨	flagg, flagg: Monaco
🇲🇩	flagg, flagg: Moldova
🇲🇪	flagg, flagg: Montenegro
🇲🇫	flagg, flagg: Saint-Martin
🇲🇬	flagg, flagg: Madagaskar
🇲🇭	flagg, flagg: Marshalløyene
🇲🇰	flagg, flagg: Nord-Makedonia
🇲🇱	flagg, flagg: Mali
🇲🇲	flagg, flagg: Myanmar (Burma)
🇲🇳	flagg, flagg: Mongolia
🇲🇴	flagg, flagg: Macao S.A.R. Kina
🇲🇵	flagg, flagg: Nord-Marianene
🇲🇶	flagg, flagg: Martinique
🇲🇷	flagg, flagg: Mauritania
🇲🇸	flagg, flagg: Montserrat
🇲🇹	flagg, flagg: Malta
🇲🇺	flagg, flagg: Mauritius
🇲🇻	flagg, flagg: Maldivene
🇲🇼	flagg, flagg: Malawi
🇲🇽	flagg, flagg: Mexico
🇲🇾	flagg, flagg: Malaysia
🇲🇿	flagg, flagg: Mosambik
🇳🇦	flagg, flagg: Namibia
🇳🇨	flagg, flagg: Ny-Caledonia
🇳🇪	flagg, flagg: Niger
🇳🇫	flagg, flagg: Norfolkøya
🇳🇬	flagg, flagg: Nigeria
🇳🇮	flagg, flagg: Nicaragua
🇳🇱	flagg, flagg: Nederland
🇳🇴	flagg, flagg: Norge
🇳🇵	flagg, flagg: Nepal
🇳🇷	flagg, flagg: Nauru
🇳🇺	flagg, flagg: Niue
🇳🇿	flagg, flagg: New Zealand
🇴🇲	flagg, flagg: Oman
🇵🇦	flagg, flagg: Panama
🇵🇪	flagg, flagg: Peru
🇵🇫	flagg, flagg: Fransk Polynesia
🇵🇬	flagg, flagg: Papua Ny-Guinea
🇵🇭	flagg, flagg: Filippinene
🇵🇰	flagg, flagg: Pakistan
🇵🇱	flagg, flagg: Polen
🇵🇲	flagg, flagg: Saint-Pierre-et-Miquelon
🇵🇳	flagg, flagg: Pitcairnøyene
🇵🇷	flagg, flagg: Puerto Rico
🇵🇸	flagg, flagg: Det palestinske området
🇵🇹	flagg, flagg: Portugal
🇵🇼	flagg, flagg: Palau
🇵🇾	flagg, flagg: Paraguay
🇶🇦	flagg, flagg: Qatar
🇷🇪	flagg, flagg: Réunion
🇷🇴	flagg, flagg: Romania
🇷🇸	flagg, flagg: Serbia
🇷🇺	flagg, flagg: Russland
🇷🇼	flagg, flagg: Rwanda
🇸🇦	flagg, flagg: Saudi-Arabia
🇸🇧	flagg, flagg: Salomonøyene
🇸🇨	flagg, flagg: Seychellene
🇸🇩	flagg, flagg: Sudan
🇸🇪	flagg, flagg: Sverige
🇸🇬	flagg, flagg: Singapore
🇸🇭	flagg, flagg: St. Helena
🇸🇮	flagg, flagg: Slovenia
🇸🇯	flagg, flagg: Svalbard og Jan Mayen
🇸🇰	flagg, flagg: Slovakia
🇸🇱	flagg, flagg: Sierra Leone
🇸🇲	flagg, flagg: San Marino
🇸🇳	flagg, flagg: Senegal
🇸🇴	flagg, flagg: Somalia
🇸🇷	flagg, flagg: Surinam
🇸🇸	flagg, flagg: Sør-Sudan
🇸🇹	flagg, flagg: São Tomé og Príncipe
